r_type,t_type,eta_mean,gamma_mean,perc_recomm_found_mean,eta_obs_mean,eta_obs_individualized_mean,eta_obs_refits_batch0_mean_mean,gamma_obs_mean,intv-cost_mean,eta_std,gamma_std,perc_recomm_found_std,eta_obs_std,eta_obs_individualized_std,eta_obs_refits_batch0_mean_std,gamma_obs_std,intv-cost_std
individualized,acceptance,0.75,0.75,1.0,0.9984999999999999,,0.7770999848842621,0.25150000005960466,2.2244,0.0,0.0,0.0,0.003374742788552768,,0.1077553335504284,0.02698250794187059,0.1687260764934956
individualized,acceptance,0.85,0.85,1.0,1.0,,0.684799998998642,0.2344999983906746,2.2020500000000003,0.0,0.0,0.0,0.0,,0.11145880578313884,0.02938726368589238,0.10811682210563829
individualized,acceptance,0.9,0.9,1.0,1.0,,0.6242999970912934,0.24549999982118606,2.5356499999999995,0.0,0.0,0.0,0.0,,0.14052128370212746,0.028328432366332073,0.23788209614568864
individualized,acceptance,0.95,0.95,1.0,1.0,,0.7546999990940094,0.22899999767541884,2.19205,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.0,,0.10349885674545559,0.027668675166880694,0.17017335115829507
subpopulation,acceptance,0.75,0.75,1.0,0.9800000000000001,,0.7345000088214875,0.17899999916553497,2.3526499999999997,0.0,0.0,0.0,0.05120763831912407,,0.14126041282431193,0.03665150977189936,0.18284025359130657
subpopulation,acceptance,0.85,0.85,1.0,0.9935,,0.6553000003099442,0.1665000021457672,2.31365,0.0,0.0,0.0,0.009143911149563477,,0.12707746154400998,0.0223668905707704,0.1083556515472184
subpopulation,acceptance,0.9,0.9,1.0,0.9945,,0.5575999945402146,0.17250000089406967,2.937222222222222,0.0,0.0,0.0,0.008644201653259968,,0.173720209619176,0.03787772839874342,0.08343751820640652
subpopulation,acceptance,0.95,0.95,1.0,0.9879999999999999,,0.7135999977588654,0.1655000001192093,2.32205,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.012736648783028545,,0.1388566183781857,0.027933454002007776,0.1746826408089826
individualized,counterfactual,0.75,0.75,1.0,0.9875,,0.7363000035285949,0.17999999970197678,2.3972,0.0,0.0,0.0,0.0344197940467723,,0.14734317308015496,0.011785111614881449,0.18235164441874993
individualized,counterfactual,0.85,0.85,1.0,0.9945,,0.6525999963283539,0.15499999970197678,2.32225,0.0,0.0,0.0,0.00497214463005877,,0.12248374291523047,0.01615893179244491,0.15538773189097715
individualized,counterfactual,0.9,0.9,1.0,0.9964999999999999,,0.558799996972084,0.175,3.8551499999999996,0.0,0.0,0.0,0.007835106182362113,,0.175972718709378,0.03135814744977218,0.16500775234313483
individualized,counterfactual,0.95,0.95,1.0,0.9925,,0.7148000180721283,0.17949999868869781,2.27135,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.011118053386771956,,0.13549809508429808,0.031042083564621792,0.12710648423008694
individualized,improvement,0.75,0.75,1.0,0.9484999999999999,0.788,0.9460000097751617,0.764000004529953,2.07575,0.0,0.0,0.0,0.022117112530044836,0.037947331922020544,0.027030842064934058,0.036802770107761396,0.1274142958140011
individualized,improvement,0.85,0.85,1.0,0.9789999999999999,0.9055,0.9776000082492828,0.8590000092983245,2.44965,0.0,0.0,0.0,0.008755950357709139,0.023148074073955575,0.008235460503781444,0.018973657988738766,0.11120777600709603
individualized,improvement,0.9,0.9,1.0,0.998,0.9490000000000001,0.9980000019073486,0.9040000021457673,2.40825,0.0,0.0,0.0,0.0034960294939005085,0.011972189997378629,0.0026666497192003044,0.02579836321222235,0.15742427632921743
individualized,improvement,0.95,0.95,1.0,0.9984999999999999,0.9804999999999999,0.9984000027179718,0.9554999947547913,3.3452999999999995,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.002415229457698242,0.009846036991827962,0.00217050038632458,0.012122071378964074,0.13016190772350508
subpopulation,improvement,0.75,0.75,1.0,0.8375,,0.8353999972343444,0.7204999983310699,2.75035,0.0,0.0,0.0,0.03584302194601093,,0.03720275347182112,0.03419307324461449,0.08486723291248643
subpopulation,improvement,0.85,0.85,1.0,0.9469999999999998,,0.9390999913215637,0.8215000033378601,3.28675,0.0,0.0,0.0,0.019032136564826902,,0.019421922784419274,0.028092119442351952,0.11286157942856884
subpopulation,improvement,0.9,0.9,1.0,0.986,,0.9866999626159668,0.8734999895095825,2.4692,0.0,0.0,0.0,0.011254628677422766,,0.011479929167298186,0.02944392643979194,0.2689473513120696
subpopulation,improvement,0.95,0.95,1.0,0.9970000000000001,,0.9961999893188477,0.9444999933242798,4.4937,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.006324555320336765,,0.005116418621001281,0.024771175443121456,0.11942575564387738
