,x1,x2
2019,1.9,6.6
2415,1.2,1.7
3830,1.1,2.5
3155,0.7,1.5
3362,1.5,0.0
2196,0.6,1.7
2182,1.6,6.2
3640,2.6,1.9
3534,0.4,3.2
2633,0.7,2.6
3466,0.7,1.6
3886,0.4,1.0
2794,1.7,0.9
2245,2.1,3.1
2538,0.4,1.4
2192,1.9,4.7
3485,0.6,2.0
2352,0.6,1.8
2935,0.9,0.0
2326,0.0,0.1
3068,1.5,3.0
3902,1.3,2.7
2937,1.3,1.2
2666,0.3,0.7
3094,1.3,0.1
2281,1.4,1.5
3017,0.9,1.4
3686,0.1,2.7
3945,1.3,2.3
3000,0.7,0.7
3978,3.4,4.9
2001,0.4,0.9
2819,1.7,2.8
2851,0.5,1.6
2215,1.8,1.0
3382,0.8,0.3
3809,0.5,1.4
3949,1.0,1.0
2509,1.3,0.4
3494,1.3,0.2
3079,0.9,2.8
2009,1.5,1.6
3078,2.0,3.0
2312,0.5,1.0
3860,1.0,-0.0
2814,0.0,2.5
3030,1.4,2.6
2379,1.4,2.1
2345,0.5,2.6
3971,0.8,-0.0
2288,1.1,2.9
3196,1.6,1.3
2389,0.9,1.5
2873,1.4,2.1
3603,0.8,1.0
3763,0.9,4.7
3258,1.2,4.2
3863,1.0,1.2
2234,0.1,0.7
3238,2.5,1.4
2866,1.1,1.2
2306,0.2,1.6
3009,1.2,-0.0
2278,0.4,3.2
3688,0.0,0.6
3040,0.7,1.4
2120,0.8,0.4
2948,1.6,2.5
2995,2.8,1.9
2857,2.1,0.8
2497,1.8,0.6
3495,1.3,0.5
3948,1.4,1.0
2530,0.5,2.1
3356,3.1,0.7
2652,0.2,2.2
2224,0.3,1.8
3175,1.3,0.1
3394,1.4,1.4
2129,0.3,1.6
3502,0.3,1.0
2429,2.3,1.2
3717,0.6,1.8
2319,1.4,2.6
3959,2.1,2.8
3725,1.9,2.0
3463,0.1,1.0
2813,1.9,4.1
2550,0.9,1.1
2080,1.3,0.0
3710,0.3,1.9
2779,2.8,5.7
3303,1.9,0.5
2006,1.4,1.6
3412,2.1,4.1
3753,1.3,0.5
3703,0.4,0.6
2806,0.5,1.5
3331,0.5,2.1
2807,0.1,2.6
2714,0.5,1.0
3981,1.3,5.4
2399,0.9,0.9
3847,0.3,1.8
3031,0.6,0.9
2753,0.9,0.4
2761,1.0,0.9
3329,2.1,0.7
3564,1.0,1.5
2670,1.3,3.1
2994,1.4,0.5
2377,1.0,1.0
2202,1.2,3.1
2340,0.3,1.3
3146,1.3,3.1
3602,0.2,0.8
3409,0.8,1.3
2480,0.1,-0.0
2739,1.4,0.5
3035,1.6,1.8
3530,2.0,1.7
3246,2.1,3.9
2394,2.5,2.5
2770,0.5,-0.0
3913,0.4,2.3
2599,1.9,2.2
3342,2.0,0.3
3946,2.1,1.4
3134,0.8,0.6
3067,2.4,2.0
2999,0.2,1.6
3237,0.1,0.5
2031,1.5,1.5
3675,2.0,2.0
2722,0.4,1.0
3739,0.7,2.1
3519,2.6,2.3
2314,0.1,0.5
3036,1.0,-0.0
3972,0.5,0.3
3712,0.9,0.2
2139,1.6,1.8
2778,0.8,2.0
2169,2.0,2.6
2162,0.9,1.9
2287,1.6,1.9
3056,1.8,2.2
2240,1.3,1.4
3052,0.3,1.3
3834,1.6,1.4
2757,0.4,2.3
2060,2.1,1.2
3671,0.9,0.7
2575,0.5,-0.0
2291,0.5,1.8
2149,1.3,2.8
2742,1.1,1.1
3359,2.1,1.0
3596,0.9,0.4
2864,2.0,1.5
3768,-0.0,1.3
3765,1.7,1.3
2247,0.3,1.4
2022,1.5,2.4
3398,-0.0,0.2
3440,3.2,2.6
3130,0.3,0.0
3922,1.9,4.2
2450,0.5,1.3
3393,0.6,2.5
3571,2.1,1.0
3595,0.4,1.0
3558,1.6,1.0
2610,2.8,2.6
2623,1.2,0.5
2195,1.1,0.2
2021,1.4,1.2
2696,0.5,-0.0
2216,1.4,1.3
2741,-0.0,1.0
2924,1.5,1.5
3940,0.4,0.3
3092,0.4,0.9
2069,0.5,2.5
3528,2.3,0.8
3647,0.9,2.0
3374,1.7,3.0
2614,0.4,1.8
3269,1.9,0.3
3047,1.3,1.0
2519,0.9,0.4
3044,0.6,2.6
3916,1.6,1.4
3404,0.7,1.2
3516,0.6,0.4
2947,2.5,0.3
3694,0.2,0.6
2922,0.8,2.1
3379,0.2,0.0
3831,3.1,0.4
