,years_experience,degree
3865,0.0,3.0
2922,1.0,1.0
2202,1.0,0.0
3357,1.0,0.0
2931,0.0,2.0
3225,0.0,3.0
3572,0.0,2.0
3457,1.0,1.0
3346,0.0,1.0
3449,0.0,1.0
2560,0.0,3.0
3387,2.0,0.0
2878,0.0,1.0
3827,1.0,0.0
3874,0.0,2.0
3098,0.0,3.0
3205,0.0,1.0
3223,0.0,1.0
3756,1.0,1.0
3751,0.0,1.0
3820,0.0,1.0
2474,0.0,1.0
3001,1.0,2.0
3512,1.0,0.0
2417,1.0,1.0
2512,0.0,1.0
3703,0.0,1.0
2088,2.0,1.0
2684,1.0,1.0
2218,0.0,3.0
3167,0.0,2.0
3891,0.0,1.0
2728,1.0,0.0
3691,1.0,1.0
3537,0.0,2.0
2444,1.0,1.0
2544,0.0,3.0
3795,0.0,2.0
2466,0.0,2.0
3481,1.0,0.0
2952,1.0,0.0
3233,3.0,0.0
3516,0.0,1.0
2707,0.0,3.0
3528,0.0,2.0
3951,0.0,1.0
3025,1.0,2.0
2024,0.0,2.0
2465,2.0,0.0
2767,2.0,0.0
2135,0.0,1.0
3440,0.0,2.0
3226,2.0,0.0
2870,1.0,1.0
3934,0.0,2.0
3329,0.0,3.0
3140,0.0,3.0
3560,0.0,1.0
3345,1.0,1.0
2682,1.0,1.0
3609,0.0,2.0
3433,2.0,0.0
3911,0.0,2.0
3419,2.0,0.0
2478,0.0,3.0
2397,0.0,3.0
3631,0.0,1.0
3085,1.0,0.0
2557,0.0,3.0
3299,0.0,1.0
3595,0.0,2.0
3944,1.0,1.0
2778,0.0,1.0
3332,3.0,0.0
2592,0.0,1.0
2501,1.0,0.0
2149,0.0,1.0
3381,0.0,1.0
2307,1.0,1.0
2219,0.0,1.0
3714,0.0,2.0
3311,1.0,0.0
3840,0.0,1.0
3801,0.0,1.0
2945,1.0,0.0
3839,0.0,2.0
2597,0.0,3.0
3928,0.0,3.0
2869,1.0,1.0
2706,0.0,3.0
3486,0.0,1.0
2225,0.0,2.0
2262,1.0,0.0
2526,0.0,2.0
2757,0.0,3.0
2266,2.0,0.0
3254,0.0,1.0
3056,2.0,0.0
3144,1.0,0.0
3130,0.0,2.0
3309,1.0,2.0
2196,2.0,0.0
2689,1.0,1.0
3316,0.0,1.0
3896,0.0,1.0
3092,1.0,0.0
2762,0.0,2.0
3182,0.0,2.0
2063,0.0,3.0
3475,0.0,2.0
2343,0.0,2.0
2996,2.0,0.0
3630,1.0,0.0
3541,0.0,3.0
2730,0.0,2.0
3437,2.0,0.0
3393,2.0,0.0
2735,0.0,2.0
3853,0.0,3.0
2240,1.0,0.0
2119,3.0,0.0
2232,1.0,1.0
2876,0.0,2.0
2441,1.0,1.0
3055,1.0,1.0
3873,0.0,3.0
2265,2.0,0.0
3444,0.0,2.0
3980,2.0,1.0
2328,0.0,3.0
3148,1.0,1.0
2479,1.0,1.0
2355,1.0,0.0
2468,0.0,3.0
2043,2.0,0.0
3462,0.0,1.0
3038,0.0,1.0
2190,0.0,3.0
3054,0.0,3.0
2072,0.0,1.0
2290,2.0,0.0
3104,1.0,0.0
3342,1.0,1.0
2234,0.0,2.0
2500,0.0,1.0
2677,1.0,0.0
2378,1.0,1.0
2303,0.0,3.0
3549,0.0,3.0
3903,0.0,2.0
2770,0.0,3.0
3496,0.0,2.0
2101,1.0,0.0
3178,1.0,2.0
3145,3.0,0.0
2734,0.0,3.0
3575,0.0,3.0
3046,0.0,2.0
2481,2.0,0.0
3376,3.0,0.0
2630,0.0,3.0
2128,3.0,0.0
3317,1.0,1.0
3717,3.0,0.0
2288,0.0,1.0
3661,0.0,2.0
2828,2.0,0.0
3680,1.0,0.0
2324,0.0,3.0
3264,1.0,1.0
3176,0.0,2.0
3423,0.0,2.0
3949,1.0,1.0
2380,0.0,1.0
3802,0.0,3.0
3040,1.0,2.0
3009,0.0,3.0
2208,1.0,1.0
2476,0.0,3.0
2176,2.0,0.0
3116,0.0,1.0
3077,1.0,0.0
2651,0.0,2.0
3743,0.0,2.0
2125,2.0,1.0
3878,0.0,3.0
2829,2.0,0.0
2094,2.0,1.0
3774,0.0,1.0
2676,2.0,0.0
3950,0.0,2.0
2731,0.0,3.0
3399,1.0,0.0
3724,1.0,0.0
2605,0.0,3.0
3864,0.0,3.0
2647,1.0,1.0
3875,1.0,1.0
2325,0.0,2.0
2385,0.0,1.0
