r_type,t_type,eta_mean,gamma_mean,perc_recomm_found_mean,eta_obs_mean,eta_obs_individualized_mean,eta_obs_refits_batch0_mean_mean,gamma_obs_mean,intv-cost_mean,eta_std,gamma_std,perc_recomm_found_std,eta_obs_std,eta_obs_individualized_std,eta_obs_refits_batch0_mean_std,gamma_obs_std,intv-cost_std
individualized,acceptance,0.75,0.75,1.0,1.0,,0.9903333385785421,0.0,0.5646666666666667,0.0,0.0,0.0,0.0,,0.006027695499519926,0.0,0.011470977871713108
individualized,acceptance,0.85,0.85,1.0,1.0,,0.9966666499773661,0.0016666666294137638,0.5559999999999999,0.0,0.0,0.0,0.0,,0.0011546856720679225,0.002886751281424208,0.026514147167125614
individualized,acceptance,0.9,0.9,1.0,1.0,,0.9913333455721537,0.0016666666294137638,0.5435,0.0,0.0,0.0,0.0,,0.00832666655595986,0.002886751281424208,0.021960191255997793
individualized,acceptance,0.9499999999999998,0.9499999999999998,1.0,1.0,,0.9983333150545756,0.0016666666294137638,0.5630000000000001,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,,0.0011546512593102166,0.002886751281424208,0.013143439428094894
subpopulation,acceptance,0.75,0.75,1.0,1.0,,0.9866666595141093,0.0,0.5568333333333334,0.0,0.0,0.0,0.0,,0.009018475924303451,0.0,0.014091959882618623
subpopulation,acceptance,0.85,0.85,1.0,1.0,,0.9963333209355673,0.0016666666294137638,0.5375,0.0,0.0,0.0,0.0,,0.002081682148970267,0.002886751281424208,0.03104834939252007
subpopulation,acceptance,0.9,0.9,1.0,1.0,,0.9963333209355673,0.0016666666294137638,1.6093668645215038,0.0,0.0,0.0,0.0,,0.0028867141801698065,0.002886751281424208,0.04532169361869422
subpopulation,acceptance,0.9499999999999998,0.9499999999999998,1.0,1.0,,0.9946666558583578,0.0016666666294137638,0.5678333333333333,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,,0.0023094057568935514,0.002886751281424208,0.035264476932649
individualized,counterfactual,0.75,0.75,1.0,1.0,,0.9923333525657654,0.0,0.5680000000000001,0.0,0.0,0.0,0.0,,0.004509253383554374,0.0,0.03302650450774343
individualized,counterfactual,0.85,0.85,1.0,1.0,,0.9976666371027628,0.0,0.5436666666666666,0.0,0.0,0.0,0.0,,0.001527505565370602,0.0,0.03585503218982432
individualized,counterfactual,0.9,0.9,1.0,1.0,,0.99699999888738,0.0,1.4169177961588677,0.0,0.0,0.0,0.0,,0.0026456834554168716,0.0,0.04721394603790878
individualized,counterfactual,0.9499999999999998,0.9499999999999998,1.0,1.0,,0.9959999720255533,0.0,0.5578333333333334,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,,0.003464091428961474,0.0,0.010492060490358113
individualized,improvement,0.75,0.75,0.93,0.7921146953405017,0.7903225806451614,0.7906810243924459,0.7903226017951965,1.1953405017921146,0.0,0.0,0.0,0.008212501245440566,0.005376344086021501,0.005922113220276908,0.005376338958740234,0.015209765156070872
individualized,improvement,0.85,0.85,0.9816666666666666,0.8233796056493663,0.8233796056493663,0.8240598837534586,0.8233796159426371,1.4473755999861873,0.0,0.0,0.0028867513459481316,0.037897805359967125,0.037897805359967125,0.03827386496010547,0.03789782737801091,0.006280150779272861
individualized,improvement,0.9,0.9,0.9816666666666666,0.8862542602926715,0.8862542602926715,0.8862542311350504,0.8862542708714803,0.5485000000000001,0.0,0.0,0.010408329997330674,0.016200387719200147,0.016200387719200147,0.016200413190286773,0.016200403075505215,0.03846101922726438
individualized,improvement,0.9499999999999998,0.9499999999999998,0.9933333333333333,0.9480303030303031,0.9480303030303031,0.9480302731196085,0.9480302929878235,2.022513468013468,1.3597399555105182e-16,1.3597399555105182e-16,0.005773502691896262,0.01128457344325177,0.01128457344325177,0.0112844938559285,0.011284562681443911,0.00890849011541512
subpopulation,improvement,0.75,0.75,0.9500000000000001,0.638287809570917,,0.6382878025372823,0.6382878025372823,1.0531826435357579,0.0,0.0,0.013228756555322902,0.04620744226016873,,0.04620743964839171,0.04620743964839171,0.02038635286735001
subpopulation,improvement,0.85,0.85,0.9783333333333334,0.7445268775218014,,0.7445268829663595,0.7445268829663595,1.2646830665104776,0.0,0.0,0.005773502691896263,0.03935953045501722,,0.03935953505793872,0.03935953505793872,0.05798938992143815
subpopulation,improvement,0.9,0.9,0.9766666666666666,0.7764947519411806,,0.7764947613080343,0.7764947613080343,0.5318333333333334,0.0,0.0,0.01527525231651948,0.014100492559918434,,0.01410046873706098,0.01410046873706098,0.03016758746292675
subpopulation,improvement,0.9499999999999998,0.9499999999999998,0.9899999999999999,0.8972927241962775,,0.8979695439338684,0.8972927133242289,1.6856742808798648,1.3597399555105182e-16,1.3597399555105182e-16,0.008660254037844393,0.028017055158703962,,0.02696094305100067,0.028017058289011163,0.04032381494058636
