r_type,t_type,pop_density_mean,flu_shot_mean,covid_shots_mean,bmi_diff_mean,appetite_loss_mean,fatigue_mean,fever_mean,causes_mean,non-causes_mean,pop_density_std,flu_shot_std,covid_shots_std,bmi_diff_std,appetite_loss_std,fatigue_std,fever_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.00033333333333333343,0.0,0.0,-0.00016666666666666666,0.5581666666666667,0.0,0.0,0.00016666666666666674,0.5581666666666667,0.002081665999466133,0.0,0.0,0.0002886751345948129,0.01187785053506457,0.0,0.0,0.0023629078131263046,0.01187785053506457,0.75
individualized,acceptance,0.0015151515151515152,0.0,0.0,0.00016835016835016836,0.5512173662927432,0.0,0.0,0.0016835016835016834,0.5512173662927432,0.0035353535353535356,0.0,0.0,0.00029159104504526554,0.02581723649654453,0.0,0.0,0.0038241807042426086,0.02581723649654453,0.85
individualized,acceptance,-0.001,0.0,0.0,-0.00016666666666666666,0.543,0.0,0.0,-0.0011666666666666668,0.543,0.001,0.0,0.0,0.0002886751345948129,0.03668446537705034,0.0,0.0,0.0012583057392117917,0.03668446537705034,0.9
individualized,acceptance,-0.00133249581239531,0.0,0.0,0.00016750418760469013,0.5581247906197655,0.0,0.0,-0.0011649916247906198,0.5581247906197655,0.0020218659210779603,0.0,0.0,0.0002901257634118723,0.014524939028262277,0.0,0.0,0.002257039991409877,0.014524939028262277,0.9499999999999998
subpopulation,acceptance,0.0010025041030066158,0.0,0.0,0.0008324873525878551,0.5523985161497724,0.0,0.0,0.0018349914555944712,0.5523985161497724,0.0015088082180425716,0.0,0.0,0.0015294589422049762,0.009647911764619339,0.0,0.0,0.002475823363306405,0.009647911764619339,0.75
subpopulation,acceptance,0.0003265824069844171,0.0,0.0,-0.0003367003367003367,0.5338816049946703,0.0,0.0,-1.0117929715919583e-05,0.5338816049946703,0.002907152409350425,0.0,0.0,0.0005831820900905311,0.030465769512299137,0.0,0.0,0.003490333773780348,0.030465769512299137,0.85
subpopulation,acceptance,0.002510930071231579,0.0,0.0,-0.000164983164983165,0.5275399302911865,0.0,0.0,0.0023459469062484138,0.5275399302911865,0.0009963083685593723,0.0,0.0,0.0007659692155916527,0.03235382293734923,0.0,0.0,0.0007729830776698484,0.03235382293734923,0.9
subpopulation,acceptance,-0.0015100840904861007,0.0,0.0,-0.0003341708542713568,0.5608589327106914,0.0,0.0,-0.0018442549447574574,0.5608589327106914,0.000874773208890757,0.0,0.0,0.0002894031757363937,0.03365613015675298,0.0,0.0,0.0007714788374577924,0.03365613015675298,0.9499999999999998
individualized,counterfactual,0.0004983249581239531,0.0,0.0,0.0003358458961474037,0.5613082077051926,0.0,0.0,0.0008341708542713569,0.5613082077051926,0.0018048673374345468,0.0,0.0,0.0007662300506547193,0.033940064673390447,0.0,0.0,0.0010404316011729338,0.033940064673390447,0.75
individualized,counterfactual,-8.375209380233917e-07,0.0,0.0,-0.00016666666666666666,0.537463986599665,0.0,0.0,-0.00016750418760469007,0.537463986599665,0.001323351195159849,0.0,0.0,0.0002886751345948129,0.0381093721104639,0.0,0.0,0.0015278000388124493,0.0381093721104639,0.85
individualized,counterfactual,0.0014973848836016817,0.0,0.0,2.563839606194235e-06,0.5397970806413017,0.0,0.0,0.0014999487232078763,0.5397970806413017,0.0021940510756806838,0.0,0.0,0.0005063631902498468,0.0189524109431279,0.0,0.0,0.0018098441508499078,0.0189524109431279,0.9
individualized,counterfactual,-0.00033501683501683497,0.0,0.0,0.00017003367003367003,0.554013468013468,0.0,0.0,-0.0001649831649831649,0.554013468013468,0.0007709316519720668,0.0,0.0,0.0007692755370384931,0.007868559362391479,0.0,0.0,0.0007659692155916528,0.007868559362391479,0.9499999999999998
individualized,improvement,-0.08612653757155037,0.031692242114237,1.1205648926237162,0.0,,,,1.0661305971664028,0.0,0.005019760044610626,0.02388468994483078,0.02098602137952568,0.0,,,,0.005873564044969852,0.0,0.75
individualized,improvement,-0.13648529091152042,0.03632270353581829,1.2928460256329108,0.00036429872495446266,,,,1.1930477369821633,0.0,0.023571857062778784,0.013522821438731581,0.024672404003619478,0.0006309839007536893,,,,0.03362625121195897,0.0,0.85
individualized,improvement,-0.1767334871850784,0.05687527509580401,1.415260800917457,0.0005331609063119596,,,,1.2959357497344948,0.0,0.01985893279917221,0.019125154660717,0.02185937444319797,1.53962693291816e-05,,,,0.028951353511056467,0.0,0.9
individualized,improvement,-0.15753054436128702,0.0767499897195493,1.7804237087753927,-0.00034722222222222224,,,,1.6992959319114327,0.0,0.005875093849670694,0.01899181012646197,0.03228966770259356,0.0006014065304058602,,,,0.014466242713628697,0.0,0.9499999999999998
subpopulation,improvement,-0.0801881936066599,0.05615253188143077,1.055648282076709,0.003663022172253418,,,,1.0352756425237335,0.0,0.01984695068241203,0.0074539714902379685,0.05502005125839349,0.00069022582588606,,,,0.069377094264262,0.0,0.75
subpopulation,improvement,-0.1210502386906115,0.03091611729938622,1.2344219645879113,0.003257053370715567,,,,1.1475448965674018,0.0,0.011460699492831166,0.005512844344223336,0.061045727424251864,0.003314682597309156,,,,0.04504324952498848,0.0,0.85
subpopulation,improvement,-0.1138578398276167,0.043036346044537356,1.3475892113967625,0.0013610419716247792,,,,1.278128759585308,0.0,0.005745672256948131,0.01510234000854765,0.058556964721126196,0.00389742112258619,,,,0.045717011658410335,0.0,0.9
subpopulation,improvement,-0.11154696236256521,0.051165936906885014,1.5378819388897778,0.0007035911291230441,,,,1.4782045045632204,0.0,0.02732115098943818,0.008236856292196258,0.03088138786306512,0.0022050757018144598,,,,0.03731743406526563,0.0,0.9499999999999998
