,years_experience,degree
2323,0.0,1.0
3990,1.0,1.0
2917,0.0,1.0
3238,0.0,3.0
2809,0.0,3.0
3435,1.0,1.0
3579,0.0,1.0
2810,0.0,2.0
3389,2.0,1.0
3366,1.0,0.0
2860,0.0,2.0
3519,0.0,1.0
3414,0.0,1.0
2120,1.0,0.0
3748,1.0,3.0
3522,0.0,3.0
3228,2.0,1.0
3991,1.0,1.0
3586,1.0,0.0
3213,0.0,1.0
3817,0.0,2.0
2341,1.0,3.0
2491,1.0,2.0
3826,0.0,3.0
3474,0.0,3.0
3950,0.0,1.0
3273,1.0,0.0
3250,1.0,3.0
3295,0.0,1.0
3477,1.0,1.0
3247,0.0,1.0
2656,1.0,0.0
2763,3.0,0.0
3019,0.0,1.0
3416,0.0,1.0
3470,1.0,1.0
2079,0.0,3.0
3392,0.0,2.0
2055,0.0,2.0
3446,0.0,3.0
3337,1.0,3.0
2921,0.0,1.0
3624,1.0,0.0
2280,0.0,3.0
3659,1.0,1.0
2000,1.0,1.0
2692,1.0,1.0
2911,2.0,0.0
2597,1.0,1.0
2302,2.0,1.0
2321,3.0,1.0
3454,0.0,1.0
3271,0.0,1.0
2044,2.0,1.0
2112,0.0,2.0
3242,1.0,1.0
3583,0.0,2.0
3480,0.0,3.0
3367,2.0,0.0
2517,1.0,1.0
2735,1.0,1.0
2848,1.0,1.0
2342,0.0,1.0
3177,1.0,2.0
2869,3.0,1.0
2132,1.0,1.0
2214,1.0,2.0
2932,1.0,1.0
3901,0.0,1.0
2298,1.0,1.0
2263,1.0,3.0
2707,1.0,0.0
3686,1.0,1.0
2856,0.0,1.0
2141,1.0,1.0
3724,0.0,2.0
2372,0.0,3.0
2788,0.0,2.0
3088,1.0,2.0
3878,2.0,0.0
2992,2.0,2.0
2988,0.0,1.0
2113,0.0,1.0
2439,0.0,1.0
3616,0.0,1.0
2806,0.0,3.0
3092,2.0,0.0
2657,1.0,1.0
2146,0.0,1.0
2288,1.0,1.0
3949,0.0,1.0
2832,1.0,1.0
3023,0.0,2.0
3234,1.0,2.0
2678,1.0,3.0
3727,0.0,1.0
2124,3.0,1.0
2840,1.0,0.0
3502,1.0,3.0
2085,0.0,1.0
3051,0.0,2.0
2352,0.0,1.0
3230,1.0,1.0
3917,0.0,3.0
3315,1.0,1.0
3641,1.0,1.0
2240,0.0,2.0
3629,0.0,1.0
2470,0.0,2.0
3458,0.0,1.0
3383,2.0,1.0
2612,0.0,2.0
3768,0.0,2.0
3967,1.0,1.0
3241,1.0,2.0
2659,1.0,1.0
3792,0.0,1.0
2862,0.0,1.0
2584,0.0,1.0
2729,3.0,0.0
2260,1.0,1.0
3040,0.0,3.0
3157,0.0,1.0
3285,0.0,1.0
2934,1.0,3.0
3932,1.0,2.0
2169,0.0,2.0
3970,1.0,1.0
3415,0.0,1.0
3471,0.0,1.0
3116,1.0,0.0
3694,0.0,1.0
2467,1.0,1.0
2609,0.0,2.0
2425,0.0,1.0
3484,1.0,1.0
3200,0.0,1.0
3931,0.0,3.0
2413,1.0,0.0
3823,1.0,1.0
2990,0.0,1.0
3958,0.0,2.0
2181,0.0,2.0
2410,3.0,1.0
3795,1.0,0.0
2127,0.0,1.0
2182,0.0,1.0
2312,1.0,0.0
3929,0.0,1.0
2490,0.0,3.0
3216,0.0,3.0
3404,0.0,3.0
2126,0.0,1.0
3409,0.0,1.0
3249,2.0,1.0
3635,1.0,1.0
2571,0.0,2.0
3992,0.0,1.0
3705,0.0,1.0
2447,1.0,1.0
3783,0.0,1.0
3098,1.0,1.0
3478,1.0,2.0
2317,1.0,2.0
2270,1.0,0.0
2993,0.0,1.0
3316,1.0,1.0
3726,2.0,0.0
2210,2.0,1.0
2086,0.0,2.0
3412,2.0,0.0
2284,0.0,1.0
3617,2.0,0.0
2398,1.0,0.0
2516,1.0,1.0
2561,0.0,2.0
2287,0.0,2.0
3944,0.0,1.0
2687,1.0,2.0
2905,3.0,1.0
2081,2.0,0.0
2478,1.0,0.0
2849,1.0,0.0
3403,0.0,1.0
2371,1.0,1.0
2339,0.0,2.0
3483,1.0,1.0
3563,1.0,2.0
2888,0.0,1.0
3900,0.0,1.0
3510,0.0,1.0
2355,1.0,1.0
3933,1.0,1.0
2397,1.0,0.0
3994,1.0,3.0
2822,1.0,3.0
3682,0.0,1.0
2851,0.0,1.0
2088,0.0,1.0
2152,0.0,3.0
