,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,0.985,0.9,0.9,0.8223350048065186,0.0,0.8223350253807107,0.8223350253807107,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,9,,0.8223350644111633,0.563
1,1.0,0.9,0.9,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,9,,0.9979999661445618,0.531
2,1.0,0.9,0.9,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,counterfactual,9,,1.0,1.4621761658031087
3,0.965,0.9,0.9,0.7823834419250488,0.0,0.7823834196891192,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,9,,0.7823834419250488,0.5315
4,1.0,0.9,0.9,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,9,,0.9969999194145203,1.6999999999999997
5,0.97,0.9,0.9,0.8917526006698608,0.0,0.8917525773195877,0.8917525773195877,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,0,,0.8876289129257202,0.7505
6,1.0,0.9,0.9,0.029999999329447746,0.029999999329447746,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,0,,0.7020000219345093,0.8240000000000001
7,1.0,0.9,0.9,0.014999999664723873,0.014999999664723873,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,counterfactual,0,,0.6510000228881836,1.4833333333333334
8,0.96,0.9,0.9,0.8645833134651184,0.010416666977107525,0.8541666666666666,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,0,,0.824999988079071,0.7859999999999999
9,1.0,0.9,0.9,0.02500000037252903,0.02500000037252903,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,0,,0.7050000429153442,1.6340101522842638
10,0.985,0.9,0.9,0.893401026725769,0.0,0.8934010152284264,0.8934010152284264,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,7,,0.9005076289176941,0.595
11,1.0,0.9,0.9,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,7,,0.8600000143051147,0.556
12,1.0,0.9,0.9,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,counterfactual,7,,0.8569999933242798,1.452284263959391
13,0.985,0.9,0.9,0.8527919054031372,0.0,0.8527918781725888,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,7,,0.8598984479904175,0.5905
14,1.0,0.9,0.9,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,7,,0.8479999303817749,1.6418478260869567
15,0.92,0.9,0.9,0.907608687877655,0.04891304299235344,0.8532608695652174,0.907608695652174,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,6,,0.8989130854606628,0.8340000000000001
16,1.0,0.9,0.9,0.10999999940395355,0.11500000208616257,0.995,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,6,,0.49799996614456177,0.8345
17,1.0,0.9,0.9,0.12999999523162842,0.125,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,counterfactual,6,,0.5509999990463257,1.3672222222222221
18,0.9,0.9,0.9,0.8388888835906982,0.09444444626569748,0.7444444444444445,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,6,,0.8288888931274414,0.846
19,1.0,0.9,0.9,0.11500000208616257,0.11500000208616257,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,6,,0.5019999742507935,1.6065656565656563
20,0.99,0.9,0.9,0.8838383555412292,0.0,0.8838383838383839,0.8838383838383839,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,1,,0.8777777552604675,0.5435
21,1.0,0.9,0.9,0.009999999776482582,0.004999999888241291,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,1,,0.7770000100135803,0.5085000000000001
22,1.0,0.9,0.9,0.004999999888241291,0.004999999888241291,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,counterfactual,1,,0.7640000581741333,1.412690355329949
23,0.985,0.9,0.9,0.8223350048065186,0.0,0.8223350253807107,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,1,,0.8162436485290527,0.5705
24,1.0,0.9,0.9,0.004999999888241291,0.004999999888241291,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,1,,0.7800000309944153,1.6489795918367347
25,0.98,0.9,0.9,0.8775510191917419,0.0,0.8775510204081632,0.8775510204081632,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,8,,0.8581632375717163,0.5840000000000001
26,1.0,0.9,0.9,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,8,,0.6269999742507935,0.545
27,1.0,0.9,0.9,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,counterfactual,8,,0.6290000081062317,1.4128865979381444
28,0.97,0.9,0.9,0.8144329786300659,0.0,0.8144329896907216,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,8,,0.800000011920929,0.5745
29,1.0,0.9,0.9,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,8,,0.6290000081062317,1.5394871794871796
30,0.975,0.9,0.9,0.8974359035491943,0.0,0.8974358974358975,0.8974358974358975,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,4,,0.8923076391220093,0.55
31,1.0,0.9,0.9,0.004999999888241291,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,4,,0.825999915599823,0.558
32,1.0,0.9,0.9,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,counterfactual,4,,0.8420000076293945,1.4311224489795917
33,0.98,0.9,0.9,0.7857142686843872,0.0,0.7857142857142857,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,4,,0.7826530337333679,0.5275
34,1.0,0.9,0.9,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,4,,0.8179999589920044,1.614213197969543
35,0.985,0.9,0.9,0.9086294174194336,0.020304568111896515,0.8934010152284264,0.9086294416243654,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,3,,0.902538001537323,1.085
36,1.0,0.9,0.9,0.054999999701976776,0.029999999329447746,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,3,,0.7710000276565552,1.0805
37,1.0,0.9,0.9,0.05000000074505806,0.019999999552965164,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,counterfactual,3,,0.7409999966621399,1.3894472361809045
38,0.995,0.9,0.9,0.8693467378616333,0.005025125574320555,0.8341708542713567,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,3,,0.8552764058113098,1.131
39,1.0,0.9,0.9,0.02500000037252903,0.009999999776482582,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,3,,0.7409999966621399,1.6189743589743593
40,0.975,0.9,0.9,0.9076923131942749,0.0,0.9076923076923077,0.9076923076923077,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,2,,0.908717930316925,0.5465
41,1.0,0.9,0.9,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,2,,0.7859999537467957,0.579
42,1.0,0.9,0.9,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,counterfactual,2,,0.7970000505447388,1.4651515151515149
43,0.99,0.9,0.9,0.8535353541374207,0.0,0.8535353535353535,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,2,,0.8505050539970398,0.5295000000000001
44,1.0,0.9,0.9,0.004999999888241291,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,2,,0.7879999876022339,1.6091836734693876
45,0.98,0.9,0.9,0.9132652878761292,0.020408162847161293,0.8877551020408163,0.9132653061224489,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,5,,0.9142856597900391,0.898
46,1.0,0.9,0.9,0.019999999552965164,0.019999999552965164,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,5,,0.3580000102519989,0.87
47,1.0,0.9,0.9,0.03999999910593033,0.03999999910593033,0.995,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,counterfactual,5,,0.4189999997615814,1.397979797979798
48,0.99,0.9,0.9,0.8131313323974609,0.05050504952669144,0.7575757575757576,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,5,,0.8121212124824524,0.8575
49,1.0,0.9,0.9,0.04500000178813934,0.04500000178813934,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,5,,0.43699997663497925,
