,u_x1,u_x2,u_x3,u_y,u_x4,u_x5
2000,-0.70344234,-0.1737782,-1.4692721,0.4538647,-0.09488777,0.10296974
2001,-0.23769628,-0.051891353,1.3712454,0.89564085,-0.48601237,-0.10079905
2002,-0.016096203,0.19284083,-0.5852985,0.033044696,1.6946868,-0.0126056
2003,-0.57697016,0.0113682095,0.24411136,0.43600047,-1.2813299,-0.17640159
2004,-0.41597927,-0.3031684,1.3684002,0.7808542,-0.30659363,-0.09418839
2005,0.0044458346,-0.12235435,1.5250169,0.4866742,-0.6208776,0.00016163567
2006,-1.0206469,-0.07458016,1.2144319,0.9034953,0.9401963,-0.066540204
2007,-0.5754976,-0.042816337,-1.8472317,0.80544245,1.7390649,0.023289612
2008,0.3510672,0.06083789,-0.51251864,0.2447573,0.14199893,0.04237828
2009,0.91916937,0.029830495,-0.029378101,0.1914072,-0.35515127,-0.16503248
2010,0.8105362,0.068751834,-1.7657193,0.47845328,1.9775811,0.057074558
2011,-1.3317738,0.118408516,1.3421469,0.9081805,-0.8640478,0.06991621
2012,-0.7837601,0.060083993,0.46373725,0.52955616,-0.57420963,-0.088771306
2013,-2.5790648,-0.12461698,-0.73919415,0.79862225,0.77147317,-0.060432818
2014,-0.93906415,-0.16728365,0.69472814,0.10560429,0.39858526,-0.10574795
2015,0.22415243,-0.035173293,0.27907187,0.43907857,1.0792035,0.031901706
2016,0.7492925,-0.016506087,-0.6929983,0.6879833,-1.7304518,0.1439849
2017,0.19850086,0.0468549,1.5329006,0.37640047,-0.536158,-0.061679352
2018,-1.0254081,-0.09861397,1.5144506,0.83158636,-0.83276516,0.017186223
2019,-0.008503957,0.08350318,1.0670892,0.07310021,-0.107138194,-0.05533876
2020,0.4297328,-0.12472377,0.14386909,0.595714,-0.21459274,0.04436108
2021,-1.3127911,0.058823872,-0.16882119,0.6632227,0.720102,0.13758473
2022,-0.497423,-0.12084533,0.70415723,0.2556275,-0.7484261,-0.011609158
