,u_years_experience,u_degree,u_senior-level_skill,u_nr_commits,u_nr_languages,u_nr_stars
2000,3.0,0.0,0.6667026,6.0,0.0,1.0
2001,1.0,3.0,0.7446903,4.0,1.0,3.0
2002,2.0,2.0,0.17970502,5.0,5.0,6.0
2003,1.0,2.0,0.5734235,8.0,5.0,5.0
2004,5.0,0.0,0.73797345,6.0,0.0,7.0
2005,3.0,0.0,0.33317602,4.0,6.0,4.0
2006,4.0,3.0,0.8293208,4.0,4.0,4.0
2007,4.0,2.0,0.14993393,4.0,5.0,6.0
2008,3.0,0.0,0.9031528,3.0,4.0,3.0
2009,5.0,0.0,0.65825343,4.0,6.0,3.0
2010,2.0,2.0,0.30116343,4.0,2.0,0.0
2011,3.0,0.0,0.601087,5.0,3.0,3.0
2012,4.0,2.0,0.9141741,1.0,3.0,0.0
2013,4.0,2.0,0.8089044,6.0,3.0,9.0
2014,1.0,2.0,0.8855442,1.0,6.0,2.0
2015,3.0,0.0,0.25256348,2.0,3.0,5.0
2016,2.0,0.0,0.7207482,3.0,2.0,2.0
2017,4.0,0.0,0.82041574,5.0,3.0,2.0
2018,2.0,0.0,0.99121845,2.0,6.0,4.0
2019,2.0,0.0,0.031701326,0.0,2.0,5.0
2020,2.0,2.0,0.1484989,5.0,1.0,2.0
2021,2.0,0.0,0.26763594,3.0,2.0,3.0
2022,1.0,2.0,0.20738482,3.0,3.0,2.0
2023,4.0,3.0,0.10606909,6.0,5.0,8.0
2024,5.0,3.0,0.42449725,2.0,0.0,2.0
2025,1.0,0.0,0.83780193,3.0,0.0,1.0
2026,3.0,2.0,0.75167763,1.0,3.0,2.0
2027,1.0,0.0,0.8287598,4.0,7.0,4.0
2028,3.0,0.0,0.6660812,1.0,9.0,5.0
2029,2.0,0.0,0.4074918,3.0,1.0,4.0
2030,3.0,1.0,0.8973608,5.0,5.0,3.0
2031,6.0,2.0,0.10963416,3.0,3.0,2.0
2032,4.0,0.0,0.48142195,2.0,5.0,4.0
2033,2.0,0.0,0.12653685,6.0,8.0,4.0
2034,3.0,1.0,0.26408052,4.0,3.0,7.0
2035,4.0,0.0,0.54019535,2.0,0.0,5.0
2036,1.0,2.0,0.8746319,2.0,1.0,6.0
2037,6.0,1.0,0.051484227,5.0,7.0,6.0
2038,3.0,0.0,0.57260644,4.0,6.0,11.0
2039,0.0,1.0,0.0012916327,2.0,5.0,2.0
2040,2.0,3.0,0.5880492,2.0,2.0,6.0
2041,9.0,1.0,0.3490708,1.0,7.0,2.0
2042,1.0,2.0,0.78991425,2.0,3.0,0.0
2043,3.0,0.0,0.28265774,3.0,1.0,4.0
2044,6.0,2.0,0.8224181,2.0,2.0,2.0
2045,4.0,2.0,0.22169721,4.0,0.0,4.0
2046,2.0,0.0,0.3369931,4.0,3.0,3.0
2047,2.0,0.0,0.7146468,2.0,10.0,4.0
2048,4.0,0.0,0.6303966,5.0,13.0,1.0
2049,0.0,2.0,0.09486294,2.0,16.0,10.0
2050,4.0,0.0,0.57263803,8.0,4.0,6.0
2051,2.0,2.0,0.016969323,7.0,4.0,4.0
2052,1.0,0.0,0.7673161,3.0,4.0,5.0
2053,3.0,3.0,0.15081358,6.0,6.0,2.0
2054,5.0,1.0,0.55074763,4.0,3.0,4.0
2055,3.0,1.0,0.8787937,2.0,8.0,8.0
2056,1.0,0.0,0.46416247,1.0,1.0,4.0
2057,2.0,2.0,0.60653996,8.0,1.0,11.0
2058,4.0,3.0,0.22963369,3.0,3.0,1.0
2059,6.0,3.0,0.43969798,6.0,3.0,2.0
2060,7.0,2.0,0.20195794,5.0,6.0,0.0
2061,2.0,2.0,0.81706595,3.0,6.0,4.0
2062,2.0,1.0,0.07697809,2.0,11.0,1.0
2063,4.0,3.0,0.30791032,4.0,2.0,9.0
2064,6.0,0.0,0.58705485,2.0,9.0,4.0
2065,2.0,2.0,0.9073013,5.0,8.0,8.0
2066,1.0,2.0,0.50864816,4.0,3.0,2.0
2067,1.0,0.0,0.59467685,3.0,1.0,1.0
2068,1.0,2.0,0.62904286,3.0,1.0,5.0
2069,3.0,2.0,0.6362281,4.0,3.0,3.0
2070,4.0,0.0,0.0124236345,3.0,7.0,1.0
2071,3.0,3.0,0.16132009,4.0,8.0,5.0
2072,5.0,0.0,0.68940175,4.0,3.0,1.0
2073,5.0,0.0,0.05248165,1.0,4.0,6.0
2074,4.0,0.0,0.53925085,3.0,9.0,1.0
2075,3.0,2.0,0.23290789,4.0,0.0,8.0
2076,7.0,0.0,0.28648126,1.0,4.0,4.0
2077,6.0,1.0,0.09198201,2.0,4.0,3.0
2078,6.0,1.0,0.45626593,4.0,3.0,5.0
2079,2.0,0.0,0.42735898,4.0,6.0,3.0
2080,3.0,2.0,0.96822536,4.0,3.0,5.0
2081,3.0,1.0,0.16834664,2.0,2.0,3.0
2082,2.0,3.0,0.28960145,2.0,5.0,3.0
2083,2.0,2.0,0.56039715,3.0,4.0,5.0
2084,3.0,0.0,0.5422449,4.0,2.0,7.0
2085,1.0,2.0,0.77497494,4.0,1.0,1.0
2086,2.0,2.0,0.96061087,5.0,1.0,1.0
2087,0.0,2.0,0.07426047,3.0,10.0,4.0
2088,1.0,2.0,0.15399253,4.0,3.0,2.0
2089,3.0,0.0,0.9454633,4.0,4.0,2.0
2090,6.0,2.0,0.42007732,9.0,5.0,2.0
2091,0.0,0.0,0.39435434,4.0,8.0,0.0
2092,0.0,2.0,0.16728806,2.0,3.0,6.0
2093,7.0,0.0,0.3634057,2.0,0.0,2.0
2094,4.0,1.0,0.3673669,8.0,1.0,5.0
2095,1.0,3.0,0.5774517,4.0,2.0,3.0
2096,4.0,0.0,0.69177246,6.0,1.0,5.0
2097,4.0,2.0,0.59694624,5.0,1.0,2.0
2098,11.0,1.0,0.60833454,1.0,1.0,1.0
2099,5.0,0.0,0.22172153,4.0,3.0,6.0
2100,2.0,2.0,0.4713688,1.0,1.0,3.0
2101,5.0,0.0,0.5211768,8.0,0.0,1.0
2102,5.0,1.0,0.6076231,8.0,3.0,10.0
2103,4.0,1.0,0.042588115,5.0,5.0,5.0
2104,2.0,3.0,0.17759168,4.0,3.0,2.0
2105,3.0,1.0,0.59303176,2.0,2.0,4.0
2106,4.0,3.0,0.4533832,1.0,1.0,5.0
2107,4.0,1.0,0.3040824,6.0,9.0,7.0
2108,4.0,2.0,0.90137064,3.0,9.0,3.0
2109,3.0,2.0,0.73214626,6.0,0.0,8.0
2110,5.0,0.0,0.16389167,7.0,2.0,4.0
2111,0.0,1.0,0.17240667,8.0,3.0,4.0
2112,2.0,3.0,0.3715924,8.0,4.0,4.0
2113,4.0,2.0,0.041938186,1.0,2.0,2.0
2114,0.0,3.0,0.44560695,7.0,1.0,3.0
2115,2.0,0.0,0.53895223,6.0,6.0,1.0
2116,2.0,0.0,0.9707502,2.0,6.0,6.0
2117,3.0,0.0,0.6265234,4.0,3.0,7.0
2118,6.0,0.0,0.89810276,0.0,6.0,4.0
2119,3.0,1.0,0.10116303,5.0,3.0,5.0
2120,6.0,2.0,0.46502972,6.0,8.0,1.0
2121,1.0,0.0,0.30072892,8.0,1.0,5.0
2122,2.0,0.0,0.01890266,4.0,5.0,5.0
2123,1.0,1.0,0.013084531,4.0,8.0,6.0
2124,1.0,0.0,0.9384656,6.0,0.0,2.0
2125,4.0,3.0,0.1622324,5.0,5.0,4.0
2126,3.0,3.0,0.19099247,7.0,2.0,2.0
2127,2.0,1.0,0.3439598,5.0,1.0,5.0
2128,3.0,0.0,0.23223603,5.0,8.0,3.0
2129,1.0,1.0,0.69405043,9.0,3.0,1.0
2130,6.0,2.0,0.5379356,1.0,9.0,1.0
