,u_years_experience,u_degree,u_senior-level_skill,u_nr_commits,u_nr_languages,u_nr_stars
2000,2.0,0.0,0.81598616,4.0,9.0,3.0
2001,2.0,0.0,0.45437527,3.0,2.0,3.0
2002,6.0,2.0,0.039816976,3.0,2.0,5.0
2003,5.0,3.0,0.24486494,2.0,4.0,0.0
2004,2.0,0.0,0.8911936,2.0,4.0,4.0
2005,4.0,1.0,0.22965086,4.0,3.0,5.0
2006,3.0,1.0,0.73833,0.0,18.0,6.0
2007,2.0,3.0,0.6522634,4.0,8.0,1.0
2008,2.0,3.0,0.83402324,2.0,1.0,4.0
2009,4.0,0.0,0.35406768,1.0,4.0,3.0
2010,1.0,0.0,0.72668254,4.0,2.0,3.0
2011,0.0,0.0,0.63500047,2.0,6.0,4.0
2012,0.0,2.0,0.031501412,8.0,4.0,0.0
2013,4.0,0.0,0.38066113,4.0,4.0,7.0
2014,2.0,1.0,0.64266324,6.0,4.0,3.0
2015,5.0,2.0,0.9889661,5.0,8.0,6.0
2016,5.0,3.0,0.008921146,2.0,0.0,1.0
2017,1.0,0.0,0.335248,5.0,3.0,4.0
2018,4.0,0.0,0.9966146,2.0,3.0,6.0
2019,4.0,0.0,0.71461415,3.0,2.0,3.0
2020,2.0,1.0,0.9547689,2.0,1.0,5.0
2021,4.0,1.0,0.720363,2.0,4.0,6.0
2022,4.0,1.0,0.10457528,5.0,4.0,5.0
2023,3.0,0.0,0.8362992,3.0,0.0,1.0
2024,1.0,0.0,0.25513363,4.0,4.0,3.0
2025,4.0,0.0,0.6766945,5.0,0.0,4.0
2026,2.0,2.0,0.29551387,7.0,0.0,4.0
2027,4.0,0.0,0.3895527,6.0,1.0,3.0
2028,3.0,1.0,0.47840023,6.0,14.0,3.0
2029,4.0,2.0,0.72914135,5.0,10.0,3.0
2030,3.0,0.0,0.3539424,7.0,2.0,3.0
2031,5.0,2.0,0.52790356,4.0,2.0,4.0
2032,4.0,0.0,0.5875983,6.0,1.0,5.0
2033,4.0,0.0,0.7473141,3.0,4.0,1.0
2034,1.0,1.0,0.6972021,3.0,3.0,2.0
2035,1.0,1.0,0.24696267,4.0,2.0,4.0
2036,3.0,2.0,0.10490954,4.0,4.0,6.0
2037,5.0,2.0,0.38024092,2.0,7.0,5.0
2038,4.0,0.0,0.5931635,5.0,4.0,7.0
2039,4.0,0.0,0.13905966,6.0,6.0,4.0
2040,4.0,3.0,0.6710131,8.0,0.0,4.0
2041,4.0,1.0,0.3883381,6.0,5.0,4.0
2042,3.0,0.0,0.29886603,7.0,4.0,3.0
2043,3.0,2.0,0.95884526,6.0,0.0,4.0
2044,1.0,1.0,0.9928272,5.0,3.0,0.0
2045,2.0,0.0,0.86455345,5.0,1.0,2.0
2046,7.0,0.0,0.12367809,1.0,2.0,1.0
2047,4.0,2.0,0.5459988,5.0,0.0,5.0
2048,7.0,0.0,0.28807735,6.0,11.0,9.0
2049,4.0,0.0,0.56033957,6.0,13.0,3.0
2050,5.0,0.0,0.48213828,4.0,2.0,3.0
2051,2.0,0.0,0.58040273,4.0,0.0,4.0
2052,6.0,3.0,0.12482333,3.0,1.0,3.0
2053,3.0,2.0,0.2848451,6.0,9.0,0.0
2054,2.0,1.0,0.9731295,1.0,1.0,10.0
2055,3.0,2.0,0.71353364,4.0,2.0,5.0
2056,0.0,3.0,0.8735274,3.0,2.0,5.0
2057,0.0,0.0,0.50726974,3.0,12.0,1.0
2058,2.0,2.0,0.58117974,6.0,5.0,6.0
2059,8.0,3.0,0.30672073,6.0,0.0,8.0
2060,3.0,1.0,0.5602484,2.0,5.0,1.0
2061,3.0,0.0,0.12782073,6.0,2.0,3.0
2062,3.0,3.0,0.3198843,2.0,2.0,5.0
2063,5.0,0.0,0.72268355,6.0,1.0,2.0
2064,5.0,0.0,0.5141318,4.0,2.0,1.0
2065,6.0,3.0,0.67742944,1.0,4.0,2.0
2066,4.0,0.0,0.86525786,4.0,2.0,5.0
2067,2.0,0.0,0.31392598,13.0,12.0,2.0
2068,2.0,0.0,0.6386672,1.0,0.0,2.0
