,years_experience,degree
2042,2.0,1.0
2979,0.0,2.0
2189,0.0,3.0
2048,0.0,3.0
3724,0.0,1.0
2545,1.0,0.0
2561,0.0,3.0
3543,0.0,1.0
3027,2.0,0.0
2033,0.0,2.0
2908,0.0,2.0
3641,0.0,3.0
2291,0.0,1.0
3535,0.0,3.0
3567,0.0,2.0
2518,0.0,3.0
2647,0.0,2.0
3599,2.0,0.0
2945,3.0,0.0
2728,0.0,3.0
2118,2.0,1.0
2880,0.0,3.0
2658,2.0,0.0
2324,2.0,0.0
3950,0.0,3.0
3994,0.0,3.0
3648,0.0,1.0
3164,3.0,0.0
2656,0.0,2.0
2361,0.0,3.0
3491,0.0,1.0
2517,0.0,1.0
3100,2.0,0.0
3812,0.0,1.0
3991,0.0,1.0
2633,0.0,2.0
2590,0.0,3.0
3666,2.0,0.0
3113,1.0,0.0
2806,1.0,1.0
3198,0.0,3.0
3896,0.0,1.0
3254,0.0,2.0
2412,0.0,3.0
3633,1.0,1.0
2839,0.0,1.0
3744,2.0,0.0
3956,0.0,3.0
3538,1.0,0.0
2014,0.0,1.0
3920,1.0,1.0
3698,0.0,1.0
3500,0.0,2.0
2382,1.0,1.0
3089,1.0,0.0
3660,1.0,1.0
2963,0.0,3.0
2512,0.0,1.0
2437,1.0,0.0
3509,0.0,1.0
3132,0.0,1.0
2037,0.0,1.0
3301,1.0,0.0
3547,2.0,0.0
3720,0.0,1.0
3494,2.0,1.0
3785,3.0,0.0
2230,0.0,1.0
2447,0.0,3.0
2731,1.0,1.0
3390,3.0,0.0
2151,0.0,3.0
3693,1.0,1.0
2193,0.0,2.0
2138,0.0,2.0
3322,0.0,2.0
2673,0.0,1.0
3107,0.0,3.0
3137,3.0,0.0
3659,0.0,1.0
3079,2.0,0.0
3733,2.0,1.0
2082,2.0,1.0
2098,2.0,0.0
3244,0.0,2.0
3458,0.0,2.0
3622,0.0,2.0
2228,0.0,2.0
3436,0.0,2.0
3899,0.0,2.0
2730,0.0,1.0
2615,0.0,1.0
3868,1.0,0.0
3406,0.0,1.0
2466,2.0,0.0
3022,0.0,3.0
2331,1.0,0.0
3234,0.0,3.0
2890,0.0,3.0
3473,0.0,3.0
3887,0.0,2.0
3524,1.0,0.0
2442,0.0,3.0
3753,0.0,1.0
3728,1.0,1.0
3171,1.0,0.0
3957,0.0,1.0
2981,2.0,1.0
3268,2.0,1.0
3214,1.0,1.0
3121,1.0,1.0
2598,1.0,0.0
2900,2.0,0.0
2640,0.0,3.0
2130,0.0,3.0
2934,0.0,1.0
3629,1.0,1.0
2210,2.0,0.0
2755,1.0,1.0
3331,2.0,0.0
2311,0.0,3.0
3297,0.0,1.0
2539,2.0,1.0
2367,0.0,1.0
3253,0.0,1.0
3969,0.0,3.0
2457,1.0,0.0
3530,1.0,1.0
3691,2.0,0.0
2974,0.0,1.0
2803,0.0,1.0
2345,1.0,0.0
3550,0.0,3.0
3621,1.0,0.0
2626,1.0,1.0
3300,0.0,1.0
2722,0.0,3.0
3854,0.0,2.0
3302,1.0,1.0
3210,0.0,3.0
2405,0.0,3.0
3995,2.0,0.0
2998,2.0,1.0
3093,0.0,2.0
2801,1.0,1.0
3807,2.0,1.0
2791,0.0,1.0
3045,0.0,2.0
3032,0.0,3.0
2579,0.0,2.0
3663,2.0,0.0
3402,1.0,1.0
3103,1.0,0.0
3445,2.0,0.0
3684,0.0,2.0
3759,0.0,3.0
3156,0.0,1.0
2125,0.0,1.0
3784,2.0,1.0
3116,1.0,0.0
2268,3.0,0.0
2339,0.0,3.0
2009,2.0,1.0
2025,1.0,1.0
3155,0.0,3.0
2233,2.0,1.0
3098,0.0,3.0
2642,0.0,1.0
3809,1.0,0.0
2659,1.0,1.0
3469,1.0,0.0
2283,0.0,3.0
3679,1.0,1.0
2838,1.0,1.0
3485,0.0,1.0
2470,1.0,1.0
2528,1.0,0.0
3248,0.0,3.0
3176,0.0,2.0
2563,1.0,2.0
3055,1.0,0.0
3019,0.0,1.0
3570,3.0,0.0
3517,0.0,2.0
3806,0.0,2.0
3435,0.0,2.0
3671,0.0,3.0
3781,0.0,1.0
3476,0.0,3.0
2100,1.0,0.0
3556,0.0,2.0
3829,0.0,3.0
2084,1.0,0.0
2140,0.0,1.0
2219,0.0,1.0
3078,0.0,1.0
3898,0.0,1.0
3799,0.0,1.0
3879,0.0,1.0
3077,2.0,0.0
