,years_experience,degree
3565,1.0,2.0
3334,0.0,3.0
3575,0.0,1.0
2655,0.0,2.0
3193,1.0,2.0
2092,2.0,0.0
2889,0.0,2.0
2837,0.0,3.0
3724,0.0,1.0
2051,1.0,1.0
3382,0.0,3.0
3783,0.0,2.0
2073,0.0,2.0
3604,0.0,1.0
2374,0.0,3.0
2962,2.0,0.0
2241,0.0,2.0
2054,1.0,1.0
3696,0.0,1.0
2334,2.0,0.0
2951,0.0,2.0
2664,1.0,1.0
3709,1.0,0.0
3237,0.0,2.0
3634,1.0,1.0
2964,2.0,1.0
2923,0.0,3.0
2040,1.0,1.0
3990,1.0,1.0
2094,0.0,1.0
2677,0.0,2.0
2876,1.0,2.0
3337,1.0,0.0
3862,0.0,0.0
3852,0.0,2.0
3854,0.0,3.0
3795,2.0,0.0
3976,0.0,1.0
2575,0.0,3.0
3516,1.0,1.0
3401,0.0,3.0
2132,3.0,0.0
3567,2.0,0.0
2178,0.0,2.0
3327,1.0,2.0
3460,2.0,0.0
3391,0.0,2.0
3991,0.0,2.0
3077,1.0,1.0
3324,1.0,1.0
2266,2.0,0.0
2189,2.0,0.0
2686,0.0,3.0
3405,0.0,3.0
3224,1.0,0.0
3221,0.0,1.0
3938,0.0,1.0
3519,0.0,1.0
3053,1.0,0.0
3532,0.0,3.0
2085,0.0,3.0
2755,1.0,1.0
2721,2.0,0.0
2513,1.0,1.0
2626,0.0,2.0
2357,0.0,2.0
2843,1.0,0.0
2749,2.0,1.0
3861,1.0,1.0
2747,0.0,3.0
2599,0.0,1.0
2058,0.0,2.0
3559,0.0,1.0
3926,0.0,1.0
2295,0.0,3.0
3473,0.0,1.0
3906,0.0,2.0
2225,2.0,1.0
3756,1.0,1.0
3427,1.0,0.0
3015,0.0,1.0
2595,1.0,1.0
3731,0.0,1.0
2549,0.0,2.0
2786,1.0,0.0
3772,1.0,0.0
2222,1.0,0.0
2156,0.0,1.0
3330,1.0,1.0
3024,2.0,1.0
2019,1.0,1.0
2331,0.0,3.0
3677,0.0,2.0
2172,0.0,3.0
2469,0.0,3.0
3545,1.0,2.0
2545,1.0,0.0
3033,0.0,1.0
3184,0.0,2.0
2491,0.0,2.0
2062,2.0,0.0
2668,1.0,1.0
2433,1.0,0.0
3988,0.0,3.0
2088,2.0,1.0
3865,1.0,0.0
3687,0.0,3.0
3453,1.0,1.0
3560,0.0,1.0
3048,0.0,1.0
3491,1.0,0.0
3849,2.0,1.0
3688,0.0,2.0
3646,0.0,3.0
3869,0.0,2.0
3042,1.0,2.0
3175,0.0,2.0
2184,1.0,0.0
2143,0.0,2.0
2397,1.0,0.0
3621,0.0,2.0
2909,0.0,1.0
3672,0.0,2.0
2827,1.0,2.0
2023,2.0,1.0
3062,0.0,2.0
3349,0.0,1.0
2481,0.0,2.0
2017,0.0,1.0
3403,0.0,3.0
2411,1.0,1.0
2653,0.0,2.0
3981,1.0,0.0
3700,0.0,1.0
3200,1.0,0.0
3875,0.0,3.0
2612,1.0,1.0
2878,0.0,3.0
3251,0.0,1.0
2680,1.0,2.0
3794,1.0,1.0
3992,0.0,1.0
2212,0.0,1.0
2795,1.0,1.0
3824,2.0,0.0
3930,0.0,2.0
3569,2.0,0.0
3060,1.0,1.0
2139,1.0,1.0
3971,0.0,1.0
3959,1.0,1.0
2887,0.0,1.0
2588,1.0,1.0
2384,0.0,1.0
3982,0.0,2.0
3633,0.0,3.0
3116,0.0,3.0
2841,0.0,1.0
3576,0.0,3.0
3083,1.0,1.0
3462,1.0,0.0
2335,0.0,2.0
2766,0.0,3.0
3079,1.0,0.0
2665,3.0,0.0
2450,0.0,1.0
2346,0.0,1.0
3469,0.0,1.0
3618,0.0,2.0
2920,0.0,1.0
3242,1.0,0.0
3818,0.0,2.0
2953,1.0,1.0
2487,0.0,3.0
2183,0.0,3.0
2870,0.0,1.0
3397,0.0,3.0
3747,0.0,2.0
3171,0.0,3.0
2059,0.0,2.0
2593,1.0,0.0
3907,3.0,0.0
3839,1.0,0.0
3468,1.0,0.0
3921,0.0,1.0
2950,0.0,3.0
3693,0.0,2.0
2934,1.0,0.0
2050,1.0,1.0
2278,0.0,3.0
3901,3.0,0.0
2413,1.0,0.0
2232,0.0,2.0
2116,0.0,1.0
3769,0.0,1.0
2101,2.0,1.0
2529,0.0,1.0
2564,2.0,0.0
3109,1.0,0.0
2633,0.0,1.0
