,years_experience,degree
3933,0.0,1.0
3379,1.0,2.0
2844,1.0,1.0
3335,3.0,1.0
2005,1.0,1.0
2555,0.0,3.0
2765,2.0,1.0
2883,2.0,0.0
2376,0.0,1.0
3965,1.0,2.0
3129,2.0,0.0
3571,1.0,0.0
2431,0.0,3.0
2296,1.0,2.0
3019,0.0,2.0
3914,3.0,1.0
2450,1.0,1.0
3702,1.0,1.0
2877,1.0,1.0
2965,0.0,2.0
3816,1.0,1.0
3752,0.0,2.0
2814,0.0,2.0
3517,0.0,2.0
2890,0.0,2.0
2176,1.0,1.0
2797,2.0,0.0
3131,0.0,2.0
2332,0.0,2.0
2826,0.0,2.0
2238,1.0,2.0
2866,0.0,2.0
2136,1.0,1.0
2934,0.0,3.0
3631,1.0,3.0
2837,0.0,2.0
3929,1.0,1.0
3874,0.0,2.0
3282,0.0,2.0
3953,1.0,1.0
3378,0.0,2.0
3093,0.0,2.0
3435,2.0,0.0
2442,0.0,2.0
3033,0.0,2.0
3042,0.0,2.0
2042,3.0,1.0
2408,2.0,0.0
2990,1.0,1.0
3619,1.0,3.0
2976,2.0,0.0
3009,2.0,0.0
3727,0.0,2.0
2807,0.0,2.0
2928,1.0,1.0
3664,0.0,2.0
3217,0.0,2.0
2593,0.0,2.0
3260,0.0,2.0
2152,0.0,2.0
3031,0.0,2.0
2460,1.0,1.0
3961,2.0,0.0
3437,1.0,3.0
2037,1.0,2.0
2000,0.0,2.0
2747,0.0,3.0
2921,0.0,1.0
2759,0.0,2.0
3209,0.0,2.0
3504,2.0,1.0
3641,2.0,1.0
2778,2.0,1.0
3078,0.0,2.0
3757,0.0,2.0
3847,0.0,2.0
3438,0.0,2.0
3444,1.0,3.0
3457,0.0,1.0
2841,3.0,1.0
3502,0.0,2.0
2894,0.0,3.0
2305,1.0,3.0
3325,1.0,3.0
2049,2.0,0.0
3137,1.0,1.0
2819,2.0,0.0
2499,1.0,1.0
2307,3.0,0.0
2909,1.0,3.0
2428,1.0,1.0
2627,1.0,1.0
3834,0.0,2.0
3469,2.0,1.0
3011,1.0,2.0
2501,1.0,1.0
2746,1.0,1.0
3320,0.0,1.0
2482,0.0,3.0
3104,1.0,1.0
2166,1.0,3.0
3156,1.0,1.0
2699,1.0,1.0
2457,0.0,2.0
3801,2.0,1.0
2322,0.0,3.0
3562,0.0,2.0
2470,0.0,3.0
2051,2.0,2.0
3050,1.0,1.0
2171,1.0,1.0
3883,0.0,2.0
2700,0.0,3.0
3620,0.0,3.0
3199,2.0,0.0
3395,2.0,0.0
3240,0.0,3.0
3814,0.0,1.0
2289,0.0,2.0
3185,1.0,3.0
3928,0.0,2.0
3004,0.0,2.0
2089,0.0,3.0
2359,0.0,3.0
3650,1.0,1.0
2273,0.0,1.0
2225,0.0,3.0
2406,0.0,3.0
3022,2.0,0.0
3482,0.0,1.0
3669,0.0,2.0
2978,0.0,2.0
3400,1.0,1.0
2882,1.0,3.0
2229,1.0,2.0
3749,0.0,2.0
2613,0.0,2.0
3118,2.0,0.0
3070,0.0,1.0
3651,0.0,2.0
3005,1.0,1.0
3025,0.0,2.0
3859,0.0,3.0
2591,0.0,2.0
2484,1.0,1.0
2685,1.0,3.0
2526,0.0,2.0
2383,1.0,1.0
3032,0.0,3.0
2165,0.0,3.0
2860,1.0,1.0
3205,3.0,1.0
2862,0.0,2.0
3970,0.0,3.0
3639,0.0,2.0
2417,1.0,1.0
2396,0.0,2.0
2774,1.0,1.0
3519,0.0,2.0
2743,2.0,1.0
3174,1.0,1.0
2277,0.0,2.0
2642,0.0,1.0
3029,2.0,0.0
2079,0.0,2.0
3764,2.0,1.0
3301,1.0,3.0
2675,1.0,2.0
3877,1.0,1.0
3600,0.0,1.0
3194,2.0,0.0
3599,1.0,1.0
3116,0.0,2.0
3910,1.0,3.0
3563,1.0,1.0
2430,2.0,1.0
2899,1.0,1.0
2374,0.0,2.0
2370,0.0,3.0
3869,1.0,2.0
2251,0.0,2.0
3549,0.0,1.0
3496,0.0,1.0
3351,1.0,1.0
3656,2.0,1.0
2716,0.0,3.0
3753,0.0,3.0
2474,1.0,1.0
3878,1.0,2.0
3317,0.0,3.0
2500,0.0,2.0
2048,2.0,1.0
3898,1.0,2.0
2664,0.0,1.0
3870,2.0,1.0
3373,0.0,2.0
3339,1.0,2.0
3302,1.0,1.0
2873,1.0,3.0
2377,1.0,1.0
