,u_years_experience,u_degree,u_senior-level_skill,u_nr_commits,u_nr_languages,u_nr_stars
2000,4.0,1.0,0.29423785,3.0,3.0,3.0
2001,5.0,0.0,0.37812567,2.0,12.0,1.0
2002,3.0,0.0,0.024958372,5.0,1.0,5.0
2003,3.0,0.0,0.4950937,4.0,7.0,7.0
2004,1.0,0.0,0.7709689,4.0,8.0,0.0
2005,5.0,1.0,0.6657636,6.0,2.0,4.0
2006,7.0,3.0,0.18251145,3.0,2.0,2.0
2007,5.0,0.0,0.5793477,6.0,0.0,10.0
2008,7.0,0.0,0.7374476,2.0,4.0,3.0
2009,1.0,2.0,0.4591905,4.0,9.0,7.0
2010,7.0,1.0,0.5645478,1.0,1.0,0.0
2011,5.0,1.0,0.35326624,1.0,0.0,2.0
2012,3.0,1.0,0.18821311,3.0,3.0,4.0
2013,4.0,1.0,0.6454855,5.0,9.0,0.0
2014,1.0,0.0,0.38949347,4.0,6.0,2.0
2015,1.0,3.0,0.19677424,3.0,2.0,1.0
2016,2.0,0.0,0.9299494,3.0,13.0,1.0
2017,2.0,0.0,0.7964555,2.0,4.0,3.0
2018,3.0,0.0,0.9810252,1.0,3.0,7.0
2019,3.0,0.0,0.7939477,7.0,4.0,2.0
2020,5.0,1.0,0.3972398,3.0,3.0,1.0
2021,0.0,1.0,0.62013984,4.0,2.0,0.0
2022,2.0,0.0,0.45826912,4.0,3.0,8.0
2023,3.0,2.0,0.455927,2.0,1.0,4.0
2024,1.0,1.0,0.58046186,3.0,3.0,6.0
2025,2.0,0.0,0.62236965,2.0,8.0,0.0
2026,1.0,0.0,0.2920426,0.0,3.0,3.0
2027,3.0,0.0,0.70145535,5.0,8.0,6.0
2028,5.0,2.0,0.44508147,4.0,3.0,10.0
2029,1.0,0.0,0.96605766,2.0,2.0,3.0
2030,1.0,0.0,0.6510285,4.0,3.0,0.0
2031,6.0,2.0,0.13592732,2.0,16.0,2.0
2032,3.0,2.0,0.86346257,9.0,4.0,6.0
2033,1.0,2.0,0.32886744,5.0,5.0,3.0
2034,7.0,0.0,0.8280679,2.0,0.0,7.0
2035,5.0,3.0,0.074172616,1.0,2.0,3.0
2036,3.0,0.0,0.6618358,5.0,9.0,6.0
2037,4.0,0.0,0.30759037,3.0,3.0,10.0
2038,1.0,1.0,0.9353694,7.0,0.0,3.0
2039,1.0,0.0,0.30995142,5.0,8.0,6.0
2040,3.0,3.0,0.23062003,0.0,1.0,8.0
2041,0.0,3.0,0.67242193,7.0,10.0,3.0
2042,7.0,0.0,0.32642138,4.0,4.0,3.0
2043,3.0,1.0,0.47951198,4.0,9.0,6.0
2044,3.0,0.0,0.94076216,4.0,11.0,3.0
2045,0.0,1.0,0.9129932,6.0,1.0,8.0
2046,1.0,0.0,0.76507604,5.0,8.0,5.0
2047,5.0,3.0,0.081326485,3.0,1.0,9.0
2048,2.0,2.0,0.467582,2.0,3.0,2.0
2049,3.0,1.0,0.5818924,5.0,6.0,4.0
2050,1.0,0.0,0.73189414,1.0,3.0,3.0
2051,4.0,2.0,0.90366304,4.0,6.0,4.0
2052,2.0,0.0,0.3336712,5.0,7.0,6.0
2053,4.0,3.0,0.66747,0.0,3.0,1.0
2054,0.0,2.0,0.72178495,2.0,1.0,6.0
2055,5.0,2.0,0.5412383,3.0,2.0,7.0
2056,3.0,2.0,0.5401521,11.0,5.0,5.0
2057,4.0,0.0,0.6274456,3.0,4.0,3.0
2058,1.0,1.0,0.8004999,4.0,7.0,0.0
2059,1.0,1.0,0.30006468,6.0,1.0,5.0
2060,6.0,3.0,0.41038084,1.0,0.0,1.0
2061,7.0,2.0,0.50559664,7.0,9.0,3.0
2062,2.0,2.0,0.3115561,6.0,3.0,0.0
2063,1.0,3.0,0.5602509,4.0,5.0,7.0
2064,1.0,0.0,0.08377254,5.0,7.0,3.0
2065,6.0,0.0,0.9878981,3.0,2.0,2.0
2066,1.0,0.0,0.39143825,3.0,5.0,8.0
2067,3.0,1.0,0.18172479,1.0,7.0,5.0
2068,3.0,2.0,0.2883842,2.0,1.0,5.0
2069,2.0,2.0,0.6844977,7.0,1.0,8.0
2070,1.0,1.0,0.48387325,4.0,5.0,2.0
2071,2.0,0.0,0.6125845,6.0,1.0,4.0
2072,3.0,0.0,0.029076934,4.0,1.0,4.0
2073,1.0,0.0,0.76700115,1.0,4.0,6.0
2074,4.0,0.0,0.14529216,7.0,14.0,5.0
2075,2.0,3.0,0.65547824,5.0,2.0,1.0
2076,2.0,0.0,0.27089715,4.0,5.0,4.0
2077,3.0,0.0,0.71525013,3.0,0.0,5.0
2078,5.0,2.0,0.42456734,5.0,3.0,3.0
2079,2.0,0.0,0.0483135,0.0,3.0,2.0
2080,1.0,2.0,0.39171004,5.0,1.0,7.0
2081,1.0,2.0,0.82197857,2.0,9.0,1.0
2082,3.0,0.0,0.74247885,3.0,0.0,3.0
2083,3.0,0.0,0.49167526,2.0,4.0,5.0
2084,2.0,0.0,0.67627597,5.0,10.0,12.0
2085,3.0,0.0,0.7896838,1.0,7.0,7.0
2086,2.0,0.0,0.86502516,8.0,8.0,3.0
2087,2.0,2.0,0.25143087,4.0,4.0,2.0
