,senior-level_skill
3998,0.0
2352,0.0
2240,0.0
2054,0.0
3036,0.0
3126,0.0
3726,0.0
2409,0.0
2618,0.0
2129,0.0
3918,0.0
2502,0.0
3546,0.0
3008,0.0
2843,0.0
3485,0.0
3764,0.0
2081,0.0
2528,0.0
3710,0.0
3062,0.0
3554,0.0
2837,0.0
3066,0.0
3364,0.0
2072,0.0
2676,0.0
2059,0.0
3741,0.0
2808,0.0
3760,0.0
2353,0.0
2166,0.0
2836,0.0
2153,0.0
2265,0.0
2690,0.0
3693,0.0
2531,0.0
3604,0.0
3560,0.0
3079,0.0
3991,0.0
3980,0.0
3579,0.0
3627,0.0
3102,0.0
3141,0.0
3808,0.0
2453,0.0
2471,0.0
2317,0.0
2981,0.0
3775,0.0
3910,0.0
3417,0.0
3206,0.0
3295,0.0
2007,0.0
3622,0.0
2530,0.0
3413,0.0
3060,0.0
3984,0.0
3119,0.0
3548,0.0
3425,0.0
3770,0.0
3169,0.0
3497,0.0
2793,0.0
3017,0.0
3941,0.0
2171,0.0
3360,0.0
3274,0.0
3130,0.0
2154,0.0
3889,0.0
3081,1.0
2365,0.0
2061,0.0
3842,0.0
3769,0.0
3933,0.0
3325,0.0
3871,0.0
3258,0.0
2487,0.0
3993,0.0
3479,0.0
2025,0.0
3006,0.0
2543,0.0
2447,0.0
3547,0.0
2452,0.0
2046,0.0
3371,0.0
2983,0.0
3422,0.0
2792,0.0
3011,0.0
3084,0.0
3056,0.0
2490,0.0
2814,0.0
2297,0.0
2949,0.0
2088,0.0
3180,0.0
2238,0.0
2020,0.0
2465,0.0
3805,0.0
3104,0.0
3513,0.0
2323,0.0
2227,0.0
3621,0.0
2005,0.0
3460,0.0
2370,0.0
3995,1.0
2034,0.0
3035,0.0
3848,0.0
3567,0.0
2252,0.0
2961,0.0
2150,0.0
3375,0.0
3960,0.0
3234,0.0
2413,0.0
2306,0.0
2786,0.0
3850,0.0
3837,0.0
3747,0.0
2971,0.0
3198,1.0
3535,0.0
2450,0.0
3533,0.0
3458,0.0
2598,0.0
2491,0.0
3344,0.0
2016,0.0
3070,0.0
3619,0.0
3798,0.0
3879,0.0
3196,0.0
3962,0.0
3639,0.0
2671,0.0
2181,0.0
3096,0.0
3437,1.0
3849,0.0
2745,0.0
2294,0.0
2464,0.0
2101,0.0
3114,0.0
3139,0.0
2127,0.0
2998,0.0
2907,0.0
3304,0.0
2499,0.0
3262,0.0
3957,0.0
3480,0.0
3976,0.0
2791,0.0
2970,0.0
2738,0.0
2188,0.0
3711,0.0
3641,0.0
3239,0.0
2381,0.0
2846,0.0
3072,0.0
2087,0.0
3913,0.0
2931,0.0
3683,0.0
3564,0.0
2415,0.0
3608,0.0
3142,0.0
3022,0.0
3724,0.0
2640,0.0
2569,0.0
2204,0.0
