,u_years_experience,u_degree,u_senior-level_skill,u_nr_commits,u_nr_languages,u_nr_stars
2000,3.0,2.0,0.943789,9.0,0.0,4.0
2001,6.0,0.0,0.3771044,3.0,2.0,5.0
2002,1.0,1.0,0.6799319,4.0,3.0,3.0
2003,9.0,2.0,0.9415921,5.0,2.0,1.0
2004,5.0,0.0,0.092086315,4.0,2.0,3.0
2005,4.0,0.0,0.12107158,6.0,2.0,4.0
2006,3.0,1.0,0.23819566,3.0,4.0,7.0
2007,3.0,0.0,0.78170335,8.0,1.0,3.0
2008,2.0,0.0,0.40010595,2.0,3.0,3.0
2009,0.0,2.0,0.6456021,5.0,5.0,2.0
2010,2.0,3.0,0.948653,2.0,3.0,10.0
2011,3.0,3.0,0.10083628,6.0,3.0,4.0
2012,4.0,0.0,0.31640923,4.0,0.0,6.0
2013,6.0,1.0,0.8383653,5.0,4.0,3.0
2014,3.0,1.0,0.8340589,3.0,0.0,1.0
2015,2.0,0.0,0.94013894,7.0,3.0,5.0
2016,2.0,1.0,0.52206874,1.0,8.0,4.0
2017,2.0,1.0,0.99455225,4.0,2.0,5.0
2018,3.0,3.0,0.110984445,3.0,2.0,1.0
2019,2.0,0.0,0.5138947,5.0,1.0,5.0
2020,1.0,2.0,0.546129,2.0,5.0,3.0
2021,3.0,2.0,0.8818052,4.0,0.0,0.0
2022,3.0,2.0,0.34940863,4.0,11.0,4.0
2023,4.0,2.0,0.4117763,3.0,2.0,3.0
2024,2.0,3.0,0.48151028,3.0,3.0,5.0
2025,0.0,2.0,0.34787464,0.0,1.0,1.0
2026,10.0,2.0,0.050759315,1.0,4.0,4.0
2027,5.0,3.0,0.5935333,2.0,1.0,3.0
2028,6.0,2.0,0.31917048,1.0,1.0,8.0
2029,4.0,3.0,0.044782877,7.0,9.0,3.0
2030,8.0,3.0,0.7515724,2.0,4.0,3.0
2031,2.0,2.0,0.8442085,2.0,2.0,2.0
2032,2.0,0.0,0.4926976,2.0,3.0,0.0
2033,1.0,0.0,0.905782,4.0,8.0,1.0
