,h_post,h_post_individualized
2732,0.8143256890823543,
3263,0.834534620067134,
3723,0.9789099313983612,
2904,0.834534620067134,
2922,0.9789099313983612,
2193,0.9789099313983612,
2752,0.8250597394240099,
2974,0.834534620067134,
3020,0.9587010004135813,
3102,0.9748685351375348,
2848,0.8102842928215278,
3415,0.9331088193305053,
2140,0.834534620067134,
3345,0.834534620067134,
2104,0.8143256890823543,
2227,0.9789099313983612,
2854,0.9465691890538046,
3805,0.9142919764671967,
2062,0.9789099313983612,
2807,0.9331088193305053,
3204,0.8143256890823543,
3932,0.9587010004135813,
3176,0.8143256890823543,
2690,0.834534620067134,
2123,0.8143256890823543,
2392,0.834534620067134,
2178,0.9546596041527549,
2824,0.9789099313983612,
3762,0.9748685351375348,
2851,0.8376030693567212,
3581,0.9748685351375348,
2976,0.8376030693567212,
2273,0.8143256890823543,
2492,0.834534620067134,
2979,0.834534620067134,
2146,0.834534620067134,
3571,0.834534620067134,
2491,0.834534620067134,
2070,0.8143256890823543,
2019,0.9789099313983612,
2346,0.834534620067134,
3314,0.9789099313983612,
3299,0.9331088193305053,
2751,0.9557458773184386,
3523,0.834534620067134,
3248,0.5365018958494494,
2482,0.6857323203102056,
3404,0.8143256890823543,
2657,0.9789099313983612,
2110,0.834534620067134,
3830,0.9789099313983612,
3229,0.8304932238063076,
3295,0.9789099313983612,
2056,0.8304932238063076,
3412,0.9587010004135813,
2419,0.834534620067134,
2352,0.834534620067134,
2764,0.8304932238063076,
3441,0.834534620067134,
3013,0.8143256890823543,
2620,0.834534620067134,
3925,0.9546596041527549,
3552,0.9789099313983612,
2401,0.834534620067134,
2830,0.9748685351375348,
2896,0.580361675309766,
2082,0.5910378002096673,
3566,0.9546596041527549,
2379,0.8304932238063076,
2798,0.9789099313983612,
3071,0.834534620067134,
3751,0.834534620067134,
2857,0.9748685351375348,
3617,0.9748685351375348,
2137,0.8021938777225776,
2687,0.834534620067134,
2923,0.9789099313983612,
3865,0.9789099313983612,
2372,0.9748685351375348,
2094,0.834534620067134,
2214,0.9587010004135813,
3168,0.834534620067134,
3712,0.834534620067134,
3576,0.8102842928215278,
3665,0.834534620067134,
2357,0.8821772805368193,
3972,0.9789099313983612,
2130,0.9789099313983612,
2179,0.9789099313983612,
3332,0.9290674230696789,
2560,0.9290674230696789,
2106,0.8754634949093585,
2239,0.9789099313983612,
3980,0.9789099313983612,
2098,0.8304932238063076,
3716,0.834534620067134,
3780,0.9720089692274304,
3912,0.5583293887335712,
3677,0.8143256890823543,
3891,0.9748685351375348,
2315,0.9748685351375348,
3495,0.9587010004135813,
2822,0.8956724258941382,
3568,0.43731803917553524,
3911,0.9789099313983612,
3727,0.834534620067134,
3001,0.834534620067134,
3100,0.8143256890823543,
2728,0.8143256890823543,
3069,0.9789099313983612,
2269,0.9789099313983612,
2371,0.834534620067134,
2790,0.9748685351375348,
2635,0.834534620067134,
3090,0.834534620067134,
2805,0.5365018958494494,
2016,0.8376030693567212,
3616,0.8143256890823543,
2513,0.9183333727280232,
2710,0.834534620067134,
3403,0.8143256890823543,
3711,0.834534620067134,
2319,0.9597872735792652,
2025,0.834534620067134,
3205,0.8143256890823543,
2965,0.9789099313983612,
3138,0.834534620067134,
2152,0.834534620067134,
2393,0.45206249885661254,
3586,0.9748685351375348,
3029,0.6280631175119418,
2836,0.6376030693567213,
3742,0.9789099313983612,
2973,0.9789099313983612,
3320,0.9789099313983612,
3099,0.9546596041527549,
3636,0.9465691890538046,
3549,0.8143256890823543,
3674,0.9748685351375348,
2723,0.9789099313983612,
3264,0.9720089692274304,
3839,0.8376030693567212,
2939,0.8102842928215278,
2570,0.9151348871803584,
2792,0.8376030693567212,
2808,0.9789099313983612,
2391,0.3681297246106601,
3073,0.8143256890823543,
2302,0.9748685351375348,
2813,0.8291011356848363,
2231,0.9720089692274304,
2843,0.9597872735792652,
3106,0.834534620067134,
3266,0.8291011356848363,
2406,0.4129972809324388,
3234,0.9789099313983612,
2871,0.8143256890823543,
3219,0.834534620067134,
2715,0.834534620067134,
2235,0.834534620067134,
3504,0.9789099313983612,
2298,0.9748685351375348,
3881,0.8021938777225776,
3883,0.834534620067134,
2868,0.9760503654882569,
3559,0.834534620067134,
3274,0.834534620067134,
3207,0.834534620067134,
3199,0.834534620067134,
2610,0.9465691890538046,
3329,0.834534620067134,
3613,0.6893588149474534,
2801,0.9789099313983612,
2018,0.9789099313983612,
3702,0.8826638710206185,
2522,0.8291011356848363,
2763,0.8304932238063076,
3864,0.9587010004135813,
3094,0.834534620067134,
2238,0.9789099313983612,
2516,0.9789099313983612,
2305,0.8102842928215278,
2708,0.8143256890823543,
3903,0.834534620067134,
3614,0.8143256890823543,
3158,0.834534620067134,
3670,0.9789099313983612,
3892,0.834534620067134,
2498,0.834534620067134,
3385,0.9789099313983612,
2175,0.9587010004135813,
3356,0.834534620067134,
2126,0.9789099313983612,
3324,0.9789099313983612,
3650,0.834534620067134,
3809,0.7705344861182247,
3999,0.8143256890823543,
2721,0.9546596041527549,
3508,0.9789099313983612,
3499,0.834534620067134,
