,senior-level_skill
3585,0.0
3066,0.0
3180,0.0
3346,1.0
3884,0.0
3307,0.0
3724,0.0
2226,0.0
3434,0.0
3541,1.0
3663,0.0
2468,0.0
3431,0.0
3801,0.0
3387,0.0
2821,0.0
2599,0.0
2063,0.0
3311,0.0
3109,0.0
2346,0.0
3294,0.0
3272,0.0
3792,0.0
2785,0.0
3633,0.0
2541,0.0
3131,0.0
2746,0.0
2211,0.0
3678,0.0
3713,0.0
3531,0.0
3600,0.0
2970,0.0
2450,0.0
2102,0.0
2639,0.0
3097,0.0
2013,0.0
2113,0.0
2513,0.0
3369,0.0
3246,0.0
2679,0.0
2059,0.0
3110,0.0
2716,0.0
3569,0.0
3359,0.0
2799,0.0
2895,0.0
2596,0.0
3674,0.0
2952,0.0
2081,0.0
3939,0.0
2116,0.0
3896,0.0
3949,0.0
3622,0.0
2141,0.0
3740,0.0
3047,0.0
2823,0.0
3638,0.0
3384,0.0
3656,0.0
2401,0.0
3731,0.0
2263,0.0
2267,0.0
3760,0.0
2091,0.0
3449,0.0
3604,0.0
2654,0.0
2765,0.0
3544,0.0
3752,0.0
3383,0.0
2910,0.0
3391,0.0
2855,0.0
3533,0.0
2155,0.0
2602,0.0
2572,0.0
2144,0.0
3237,0.0
3879,0.0
2744,0.0
3865,0.0
2254,0.0
2493,0.0
2730,0.0
2832,0.0
2948,0.0
2798,0.0
3836,0.0
3483,0.0
3841,0.0
3958,0.0
2221,0.0
3133,0.0
2721,0.0
2343,0.0
2425,0.0
3769,0.0
2224,0.0
3079,0.0
2271,0.0
3548,0.0
3735,0.0
3964,0.0
2778,0.0
3132,0.0
2682,0.0
2585,0.0
3287,0.0
2606,0.0
3463,0.0
2954,0.0
2203,0.0
3507,0.0
3609,0.0
2969,0.0
3755,0.0
2742,0.0
3223,0.0
2642,0.0
2704,0.0
2060,0.0
2248,0.0
2026,0.0
2139,0.0
2292,0.0
2216,0.0
2580,0.0
3589,0.0
3515,0.0
3523,0.0
3897,0.0
3843,0.0
3848,0.0
2047,0.0
3745,0.0
2340,0.0
3210,0.0
2362,0.0
2727,0.0
3065,0.0
2574,0.0
3846,0.0
3873,0.0
3494,0.0
3231,0.0
2684,0.0
3910,0.0
2659,0.0
2121,0.0
3116,0.0
2363,0.0
2587,0.0
3040,0.0
3300,0.0
3886,0.0
2955,0.0
3077,0.0
3451,0.0
3402,0.0
3252,0.0
3074,0.0
3325,0.0
2503,0.0
3757,0.0
3673,0.0
3915,0.0
3785,0.0
3288,0.0
2448,0.0
3794,0.0
2668,0.0
3055,0.0
2366,0.0
3118,1.0
3191,0.0
3249,0.0
2322,0.0
2935,0.0
2109,0.0
2559,0.0
2201,0.0
3662,0.0
2207,0.0
3517,0.0
2996,0.0
2702,0.0
2715,0.0
3343,0.0
