,u_x1,u_x2,u_x3,u_y
2000,-0.9013542,0.55622196,-0.07034423,0.2164371
2001,1.415822,2.1195254,-0.023769628,0.57620025
2002,-0.57594454,-0.8602965,-0.0016096203,0.48759747
2003,-0.34040406,0.95266753,-0.057697017,0.1443007
2004,0.10244396,-1.0130696,-0.04159793,0.7139162
2005,0.22884645,0.75905776,0.00044458345,0.78748333
2006,-0.13254136,0.5022445,-0.10206469,0.8919716
2007,-0.36078128,1.7596054,-0.057549763,0.955726
2008,-0.061709665,-0.49470094,0.03510672,0.3815174
2009,-0.5786138,0.123974554,0.09191694,0.61754096
2010,0.7009305,-0.8162114,0.08105362,0.046889782
2011,-1.2679211,0.9590701,-0.13317738,0.66888547
2012,0.5407648,-1.232167,-0.07837601,0.015017986
2013,-0.22279416,-0.703889,-0.2579065,0.5058801
2014,0.14338392,0.4796342,-0.09390642,0.5124135
2015,-1.3314642,-0.39145613,0.022415243,0.85877144
2016,-1.4435079,0.4525999,0.07492925,0.062645316
2017,-0.0433169,0.5640849,0.019850086,0.034309268
2018,0.1436049,-0.2201887,-0.10254081,0.67144275
2019,-0.8917677,1.2798412,-0.0008503957,0.6475928
2020,-0.41836774,0.4600162,0.04297328,0.2027551
2021,-0.08985344,-1.7899046,-0.13127911,0.99766004
2022,0.29406196,1.0489299,-0.0497423,0.6563653
2023,-0.0842837,1.8568146,-0.02577076,0.50041914
2024,-0.6947846,-0.86680454,-0.08422849,0.7706728
2025,-0.25864092,0.18801112,-0.054823518,0.21751225
2026,0.053280387,0.089875795,-0.15835492,0.34325886
2027,0.12560707,0.029237147,-0.03843473,0.54325974
2028,-0.016069604,-1.1865262,-0.027970338,0.2936337
2029,-1.3618826,0.78453207,-0.009204983,0.9249126
2030,-0.79834956,0.8426903,0.2149477,0.76997244
2031,1.0284152,-0.8153258,-0.06290811,0.94158804
2032,0.75458217,-0.83897024,-0.16424106,0.08042669
2033,-0.9476239,-1.1104321,0.3254482,0.21726596
2034,-0.35217705,1.2939162,-0.0596532,0.0100079775
2035,1.1070698,2.3923528,0.01433809,0.446182
2036,0.13658716,0.075046614,-0.124383226,0.71209085
2037,-1.164836,0.78299034,0.16606484,0.12064946
2038,-1.0699008,-1.9504801,-0.076609336,0.8782973
2039,3.1235042,-0.4309311,0.11030336,0.15241206
2040,0.067682736,-0.072540075,0.03163642,0.4375291
2041,0.83419865,0.1685834,-0.034992572,0.2569939
2042,0.04285047,1.6934522,-0.08056291,0.09017134
2043,-1.529004,-0.46825206,-0.034100384,0.5721122
2044,-0.6541931,1.124915,-0.21692316,0.09545672
2045,0.88368493,0.8169482,0.13172695,0.72918475
2046,2.103367,-0.0713588,-0.0071718,0.054001093
2047,-0.93099874,-0.79802656,0.060505237,0.89809227
2048,0.08065259,-0.6052962,-0.059681904,0.8446758
2049,1.2740904,-0.23152405,0.0763258,0.9966421
2050,-1.3179923,-0.7735807,0.027112443,0.88254833
2051,1.2046453,0.8111888,-0.086419664,0.9516989
2052,-0.9437891,-0.2977731,-0.08517674,0.30077863
2053,1.3026505,0.43659553,0.14118458,0.05426228
2054,1.2627407,-0.32498544,0.06085371,0.7253207
2055,-0.3754713,-1.5030704,-0.14183313,0.54322875
2056,-1.3257732,0.09821575,0.03999619,0.102947235
2057,0.29637513,-0.54995185,-0.0837146,0.34110248
2058,-0.24455945,-2.3126094,-0.040540483,0.7694969
2059,0.635431,-1.8363401,0.00849385,0.5095866
2060,1.2880336,-1.9183536,-0.19451737,0.76684177
2061,1.3222157,-0.67927057,0.045715347,0.81684625
2062,-0.14880018,0.6525505,-0.004059949,0.97766376
2063,-0.48019597,-0.8728193,-0.03347515,0.22522163
2064,0.9620618,-0.26312247,0.07090383,0.40042806
2065,-0.16493274,2.1929538,-0.010256368,0.57156944
2066,-1.8017268,-0.0727456,-0.017343896,0.999447
2067,0.472154,-1.5532845,-0.050611716,0.3545004
2068,1.5775748,-0.74825126,-0.08279013,0.7607113
2069,0.19686335,-0.7905764,-0.036627837,0.5905045
2070,-0.2996881,0.5039709,-0.23201923,0.20859551
2071,-1.7947462,-0.060438532,0.09766846,0.5712528
2072,-0.17159674,0.27958328,-0.0057650832,0.68416536
2073,-0.10209989,2.0140653,0.065199606,0.4199469
2074,-0.16390477,-0.43028623,0.0014913207,0.4766568
2075,0.33923417,0.62740904,-0.13244861,0.06799054
2076,-0.7862137,0.58111197,0.08810436,0.90475285
2077,-1.1514398,-0.021290192,-0.025625048,0.6819147
2078,0.41135657,0.79816806,0.048246693,0.44430447
2079,-0.4706715,0.94816965,0.09141906,0.1255225
2080,0.12819223,-0.7971866,-0.16449426,0.058589578
2081,0.23069863,1.3194419,0.12807201,0.42472613
2082,1.1442941,0.25941205,0.026647268,0.98195136
2083,0.67665714,-0.40346694,0.05082671,0.7563071
2084,0.1740892,0.13562025,-0.15015815,0.06441975
2085,3.3798683,0.933805,-0.09996572,0.2917409
2086,0.25258794,-0.70986164,-0.027922643,0.7793206
2087,0.03943812,0.40063658,-0.10103772,0.5917733
2088,1.7149547,0.46249118,0.037024952,0.31329572
2089,-0.22243853,-1.0570327,0.037700485,0.45867395
2090,0.54589105,1.4203852,0.069236234,0.2525257
2091,-0.97690344,0.36136702,-0.031075707,0.73353803
2092,-0.5124617,-1.5149885,-4.651777e-05,0.750054
2093,-0.12857291,-0.8799994,0.09317533,0.7314081
2094,1.1899971,-0.01830177,-0.14039215,0.07889092
2095,0.36670193,-1.1778579,-0.13756584,0.8708755
2096,1.652207,1.140066,-0.06585091,0.062230945
2097,0.028100293,0.6415751,0.04108448,0.839754
2098,-0.101024605,-0.2489393,0.027980328,0.16088176
2099,1.4168879,-0.440127,0.10529607,0.84689
2100,1.8321803,0.9855628,0.04463471,0.5073389
2101,-0.045405272,-0.5407778,-0.11304843,0.61217916
2102,1.595593,-0.47776356,0.05177595,0.2948618
2103,-0.09539205,-0.2303717,-0.004078611,0.6604644
2104,-1.8314166,1.4096149,0.09689105,0.31543994
2105,-0.96179104,0.5688357,-0.015431349,0.9917207
2106,-0.37575027,0.36325058,-0.15221417,0.20198977
2107,-1.3471934,0.03409471,0.017540418,0.5145211
2108,1.0931935,-0.012346012,-0.16188711,0.22673249
2109,0.17657226,-1.5774095,-0.018886873,0.5064162
2110,-0.35257226,0.55913585,-0.015718415,0.0615685
2111,0.10717501,-1.2501302,-0.023986844,0.053436518
2112,0.7879752,-0.8971721,-0.002493759,0.66701734
2113,1.0865974,-1.2798239,-0.1011467,0.30466866
2114,0.2706365,-0.97277725,0.063749544,0.8895817
2115,0.776278,-0.8452265,0.017900266,0.62646794
2116,-1.6648971,0.3773809,-0.15421972,0.2668333
2117,-0.8583577,0.9181888,0.17867632,0.7162136
2118,-1.3069518,-2.4826384,-0.121525906,0.7547256
2119,0.10851337,1.4135925,0.15257898,0.78401446
2120,-1.8177578,0.6674387,-0.05970289,0.051164627
2121,1.7608067,-0.80777174,0.07058682,0.09479821
2122,0.07461512,0.26195443,-0.064568825,0.20392394
2123,0.9182585,0.6552459,0.1267957,0.15882552
2124,2.452559,0.3076062,0.090286344,0.78137505
2125,-0.070661105,-1.3155086,0.02615014,0.85296714
2126,-0.8224999,-0.49669203,0.09967679,0.54540503
2127,0.746405,0.25871366,0.04324814,0.29916275
2128,0.9322188,0.21391504,-0.050514262,0.9989946
2129,0.62779653,-1.3717172,-0.060290057,0.26431668
