scm,t_type,r_type,gamma,gamma_obs_mean,gamma_obs_std,eta_obs_mean,eta_obs_std,eta_obs_individualized_mean,eta_obs_individualized_std,eta_obs_refits_batch0_mean_mean,eta_obs_refits_batch0_mean_std,intv-cost_mean,intv-cost_std
3var-causal,CE,individualized,0.75,0.44,0.07,1.0,0.0,,,0.59,0.21,3.11,0.35
3var-causal,CE,individualized,0.85,0.47,0.08,1.0,0.0,,,0.58,0.27,3.27,0.36
3var-causal,CE,individualized,0.9,0.44,0.09,1.0,0.0,,,0.61,0.19,5.64,0.14
3var-causal,CE,individualized,0.95,0.46,0.07,1.0,0.0,,,0.67,0.18,3.21,0.35
3var-causal,CR,individualized,0.75,0.47,0.04,1.0,0.0,,,0.69,0.11,2.37,0.36
3var-causal,CR,individualized,0.85,0.5,0.06,1.0,0.0,,,0.71,0.16,2.29,0.3
3var-causal,CR,individualized,0.9,0.46,0.11,1.0,0.0,,,0.71,0.12,3.04,0.46
3var-causal,CR,individualized,0.95,0.51,0.05,1.0,0.0,,,0.74,0.11,2.34,0.33
3var-causal,CR,subpopulation,0.75,0.42,0.08,1.0,0.0,,,0.59,0.22,3.15,0.35
3var-causal,CR,subpopulation,0.85,0.47,0.06,1.0,0.0,,,0.56,0.28,3.36,0.34
3var-causal,CR,subpopulation,0.9,0.43,0.1,1.0,0.0,,,0.6,0.19,3.78,0.27
3var-causal,CR,subpopulation,0.95,0.46,0.07,1.0,0.0,,,0.68,0.18,3.26,0.42
3var-causal,ICR,individualized,0.75,0.77,0.01,0.99,0.01,1.0,0.0,0.96,0.03,3.39,0.18
3var-causal,ICR,individualized,0.85,0.87,0.02,1.0,0.0,1.0,0.0,0.98,0.01,3.82,0.26
3var-causal,ICR,individualized,0.9,0.92,0.02,1.0,0.01,1.0,0.0,0.99,0.01,2.23,0.21
3var-causal,ICR,individualized,0.95,0.95,0.02,1.0,0.0,1.0,0.0,0.99,0.01,3.91,0.24
3var-causal,ICR,subpopulation,0.75,0.73,0.03,1.0,0.0,,,0.95,0.08,4.61,0.13
3var-causal,ICR,subpopulation,0.85,0.85,0.02,1.0,0.0,,,0.97,0.02,5.25,0.2
3var-causal,ICR,subpopulation,0.9,0.89,0.02,1.0,0.0,,,0.98,0.01,3.06,0.43
3var-causal,ICR,subpopulation,0.95,0.95,0.01,1.0,0.0,,,0.98,0.03,6.44,0.17
3var-noncausal,CE,individualized,0.75,0.18,0.01,0.99,0.03,,,0.74,0.15,2.4,0.18
3var-noncausal,CE,individualized,0.85,0.15,0.02,0.99,0.0,,,0.65,0.12,2.32,0.16
3var-noncausal,CE,individualized,0.9,0.17,0.03,1.0,0.01,,,0.56,0.18,3.86,0.17
3var-noncausal,CE,individualized,0.95,0.18,0.03,0.99,0.01,,,0.71,0.14,2.27,0.13
3var-noncausal,CR,individualized,0.75,0.25,0.03,1.0,0.0,,,0.78,0.11,2.22,0.17
3var-noncausal,CR,individualized,0.85,0.23,0.03,1.0,0.0,,,0.68,0.11,2.2,0.11
3var-noncausal,CR,individualized,0.9,0.25,0.03,1.0,0.0,,,0.62,0.14,2.54,0.24
3var-noncausal,CR,individualized,0.95,0.23,0.03,1.0,0.0,,,0.75,0.1,2.19,0.17
3var-noncausal,CR,subpopulation,0.75,0.18,0.04,0.98,0.05,,,0.73,0.14,2.35,0.18
3var-noncausal,CR,subpopulation,0.85,0.17,0.02,0.99,0.01,,,0.66,0.13,2.31,0.11
3var-noncausal,CR,subpopulation,0.9,0.17,0.04,0.99,0.01,,,0.56,0.17,2.94,0.08
3var-noncausal,CR,subpopulation,0.95,0.17,0.03,0.99,0.01,,,0.71,0.14,2.32,0.17
3var-noncausal,ICR,individualized,0.75,0.76,0.04,0.95,0.02,0.79,0.04,0.95,0.03,2.08,0.13
3var-noncausal,ICR,individualized,0.85,0.86,0.02,0.98,0.01,0.91,0.02,0.98,0.01,2.45,0.11
3var-noncausal,ICR,individualized,0.9,0.9,0.03,1.0,0.0,0.95,0.01,1.0,0.0,2.41,0.16
3var-noncausal,ICR,individualized,0.95,0.96,0.01,1.0,0.0,0.98,0.01,1.0,0.0,3.35,0.13
3var-noncausal,ICR,subpopulation,0.75,0.72,0.03,0.84,0.04,,,0.84,0.04,2.75,0.08
3var-noncausal,ICR,subpopulation,0.85,0.82,0.03,0.95,0.02,,,0.94,0.02,3.29,0.11
3var-noncausal,ICR,subpopulation,0.9,0.87,0.03,0.99,0.01,,,0.99,0.01,2.47,0.27
3var-noncausal,ICR,subpopulation,0.95,0.94,0.02,1.0,0.01,,,1.0,0.01,4.49,0.12
5var-skill,CE,individualized,0.75,0.0,0.0,1.0,0.0,,,0.85,0.17,0.46,0.31
5var-skill,CE,individualized,0.85,0.0,0.0,1.0,0.0,,,0.7,0.2,0.42,0.28
