,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.95,0.95,0.985,0.005,0.985,0.985,"[5.0, 5.0]",300.0,0.5,individualized,improvement,9,,0.984,0.0922105
1,1.0,0.95,0.95,0.005,0.005,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,acceptance,9,,0.44000000000000006,0.1001665
2,1.0,0.95,0.95,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,counterfactual,9,,0.45,10.6
3,1.0,0.95,0.95,0.975,0.0,0.975,,"[5.0, 5.0]",300.0,0.5,subpopulation,improvement,9,,0.975,0.1001605
4,1.0,0.95,0.95,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,subpopulation,acceptance,9,,0.465,10.8
5,1.0,0.95,0.95,0.985,0.0,0.985,0.985,"[5.0, 5.0]",300.0,0.5,individualized,improvement,0,,0.984,0.1602955
6,1.0,0.95,0.95,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,acceptance,0,,0.52,0.14992
7,1.0,0.95,0.95,0.005,0.005,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,counterfactual,0,,0.525,10.9
8,1.0,0.95,0.95,0.99,0.0,0.99,,"[5.0, 5.0]",300.0,0.5,subpopulation,improvement,0,,0.99,0.157843
9,1.0,0.95,0.95,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,subpopulation,acceptance,0,,0.524,11.225
10,1.0,0.95,0.95,0.995,0.005,0.995,0.995,"[5.0, 5.0]",300.0,0.5,individualized,improvement,7,,0.994,0.6069295
11,1.0,0.95,0.95,0.02,0.02,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,acceptance,7,,0.868,0.6177235
12,1.0,0.95,0.95,0.01,0.01,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,counterfactual,7,,0.89,10.975
13,1.0,0.95,0.95,0.985,0.015,0.985,,"[5.0, 5.0]",300.0,0.5,subpopulation,improvement,7,,0.985,0.6203350000000001
