r_type,t_type,x1_mean,x2_mean,x3_mean,causes_mean,non-causes_mean,x1_std,x2_std,x3_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.15783333333333335,0.1795,1.9115000000000002,0.3373333333333333,1.9115000000000002,0.0375410886008029,0.0568836531878887,0.1482556912904189,0.04400094695950681,0.1482556912904189,0.75
individualized,acceptance,0.12369932998324958,0.12582998324958122,1.9014757118927974,0.2495293132328308,1.9014757118927974,0.006338630968339887,0.025176637960534296,0.12907925484384783,0.030355205607030547,0.12907925484384783,0.85
individualized,acceptance,0.15105946398659967,0.13682663316582916,1.9086658291457288,0.2878860971524288,1.9086658291457288,0.025504813908755,0.03610961421185957,0.008402759502892732,0.05080772185374989,0.008402759502892732,0.9
individualized,acceptance,0.14383333333333334,0.13733333333333334,1.9753333333333334,0.2811666666666666,1.9753333333333334,0.01426826315054966,0.04376166511152579,0.019263523388345475,0.03450483057969324,0.019263523388345475,0.9499999999999998
subpopulation,acceptance,0.08024719557382874,0.08031064412973961,2.075766881545776,0.16055783970356832,2.075766881545776,0.04584627094341297,0.016266683929140158,0.1797640002514428,0.059549628896625115,0.1797640002514428,0.75
subpopulation,acceptance,0.04304857621440536,0.053207705192629816,2.1271850921273034,0.09625628140703518,2.1271850921273034,0.022493707518788292,0.05312070286227717,0.2879567811363582,0.04623728732280084,0.2879567811363582,0.85
subpopulation,acceptance,0.03495959595959596,0.061595700595700596,2.1102685832685832,0.09655529655529656,2.1102685832685832,0.020681686831269728,0.033554330859483644,0.1666127617276434,0.03945708892873088,0.1666127617276434,0.9
subpopulation,acceptance,0.01516666666666667,0.03216666666666666,2.281166666666667,0.04733333333333333,2.281166666666667,0.004481443219916252,0.02552613040265471,0.1363472894242246,0.021108844907605277,0.1363472894242246,0.9499999999999998
individualized,counterfactual,0.015666666666666666,0.004333333333333334,2.462833333333333,0.02,2.462833333333333,0.011793359713556323,0.01429452109492771,0.3292678747362599,0.0045000000000000005,0.3292678747362599,0.75
individualized,counterfactual,0.014499999999999999,0.005833333333333334,2.3043333333333336,0.020333333333333335,2.3043333333333336,0.02861817604250837,0.01575066136177568,0.18463500029337154,0.0443687202129308,0.18463500029337154,0.9499999999999998
individualized,improvement,1.2593333333333334,0.8698333333333332,,2.1291666666666664,0.0,0.06709942871093133,0.07112371850046462,,0.03700112610898927,0.0,0.75
individualized,improvement,1.506,1.0115,,2.5175,0.0,0.031500000000000083,0.10996931390165153,,0.10968249632461861,0.0,0.85
individualized,improvement,1.6716666666666666,1.3066666666666666,,2.978333333333333,0.0,0.0793195015953411,0.16482895174493276,,0.08589868062626684,0.0,0.9
individualized,improvement,2.0948333333333333,1.2105,,3.3053333333333335,0.0,0.044750232774068616,0.10785522704069561,,0.1293274268410738,0.0,0.9499999999999998
subpopulation,improvement,1.2602160657947206,0.6728217250075271,,1.9330377908022476,0.0,0.08989956364521075,0.051189185421603244,,0.06890690361793719,0.0,0.75
subpopulation,improvement,1.5524036850921272,0.9750092127303182,,2.5274128978224457,0.0,0.05424725137780484,0.041018866543619234,,0.09412393382341355,0.0,0.85
subpopulation,improvement,1.742,1.1228333333333333,,2.8648333333333333,0.0,0.08536539111372957,0.01576652572170973,,0.07727278520496919,0.0,0.9
subpopulation,improvement,2.1973333333333334,0.9351666666666668,,3.1325000000000003,0.0,0.10476680453909701,0.09271776169285649,,0.10355191934483884,0.0,0.9499999999999998
