,u_years_experience,u_degree,u_senior-level_skill,u_nr_commits,u_nr_languages,u_nr_stars
2000,1.0,1.0,0.9248996,3.0,0.0,9.0
2001,2.0,2.0,0.22934234,3.0,5.0,5.0
2002,5.0,2.0,0.8429779,3.0,2.0,2.0
2003,5.0,2.0,0.81029105,3.0,2.0,5.0
2004,4.0,1.0,0.04661715,3.0,1.0,1.0
2005,3.0,2.0,0.81856644,4.0,10.0,7.0
2006,4.0,2.0,0.62614536,4.0,0.0,2.0
2007,3.0,2.0,0.62745595,2.0,2.0,3.0
2008,1.0,2.0,0.072098136,7.0,4.0,2.0
2009,3.0,0.0,0.3796482,2.0,9.0,8.0
2010,0.0,1.0,0.8299804,2.0,6.0,3.0
2011,3.0,1.0,0.18504596,3.0,17.0,4.0
2012,0.0,2.0,0.08848703,1.0,2.0,1.0
2013,7.0,0.0,0.29401004,4.0,5.0,4.0
2014,1.0,1.0,0.4805814,1.0,4.0,5.0
2015,1.0,0.0,0.009661794,7.0,6.0,5.0
2016,2.0,0.0,0.8674618,4.0,2.0,2.0
2017,2.0,2.0,0.55467236,4.0,1.0,8.0
2018,3.0,3.0,0.72487986,3.0,8.0,3.0
2019,1.0,1.0,0.18529797,5.0,1.0,5.0
2020,2.0,1.0,0.3060112,5.0,2.0,1.0
2021,3.0,1.0,0.29828513,5.0,2.0,2.0
2022,2.0,0.0,0.8634546,4.0,1.0,5.0
2023,4.0,2.0,0.85479736,5.0,20.0,1.0
2024,2.0,1.0,0.36012518,4.0,3.0,5.0
2025,1.0,0.0,0.060872078,3.0,1.0,9.0
2026,1.0,0.0,0.18868983,1.0,3.0,7.0
2027,4.0,3.0,0.46531725,3.0,3.0,3.0
2028,1.0,0.0,0.48121727,2.0,14.0,11.0
2029,2.0,3.0,0.48635542,2.0,2.0,2.0
2030,2.0,1.0,0.5870789,5.0,2.0,0.0
2031,2.0,0.0,0.3999431,1.0,1.0,4.0
2032,4.0,0.0,0.6832615,1.0,1.0,5.0
2033,3.0,0.0,0.51168513,1.0,3.0,3.0
2034,5.0,3.0,0.8200319,7.0,5.0,1.0
2035,3.0,0.0,0.42140508,7.0,9.0,2.0
2036,4.0,0.0,0.6253356,2.0,0.0,6.0
2037,4.0,1.0,0.36258614,4.0,5.0,10.0
2038,6.0,2.0,0.5644542,4.0,1.0,3.0
2039,2.0,2.0,0.3797841,2.0,1.0,5.0
2040,4.0,2.0,0.96572995,6.0,12.0,4.0
2041,2.0,1.0,0.96819067,4.0,3.0,0.0
2042,0.0,2.0,0.2732948,2.0,4.0,4.0
2043,4.0,0.0,0.976616,4.0,7.0,0.0
2044,1.0,1.0,0.37261605,6.0,1.0,5.0
2045,3.0,2.0,0.8011627,2.0,5.0,2.0
2046,1.0,0.0,0.7863381,1.0,3.0,3.0
2047,4.0,2.0,0.9972328,5.0,0.0,7.0
2048,1.0,0.0,0.3435284,1.0,0.0,3.0
2049,7.0,0.0,0.47177017,5.0,0.0,2.0
2050,6.0,0.0,0.61540055,3.0,8.0,10.0
2051,3.0,1.0,0.97991955,6.0,5.0,1.0
2052,4.0,2.0,0.9833305,4.0,1.0,5.0
2053,2.0,2.0,0.42323935,3.0,2.0,3.0
2054,2.0,0.0,0.2575531,3.0,3.0,3.0
2055,8.0,2.0,0.5273317,1.0,2.0,4.0
2056,4.0,0.0,0.98183143,6.0,5.0,8.0
2057,8.0,2.0,0.24182248,3.0,9.0,0.0
2058,0.0,2.0,0.95653117,4.0,3.0,7.0
2059,2.0,2.0,0.72050023,1.0,14.0,3.0
2060,0.0,3.0,0.21720779,2.0,1.0,2.0
2061,3.0,1.0,0.6818615,6.0,1.0,15.0
2062,1.0,2.0,0.9182409,3.0,8.0,4.0
