,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.95,0.95,0.9350000023841858,0.0949999988079071,0.995,1.0,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,9,"[[0.47797065027927815, 0.5704776911967959, 1.530090930385704], [0.013667717653438521]]",0.9899999499320984,3.995
1,1.0,0.95,0.95,0.4099999964237213,0.11500000208616257,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,9,"[[0.47797065027927815, 0.5704776911967959, 1.530090930385704], [0.013667717653438521]]",0.656999945640564,2.475
2,1.0,0.95,0.95,0.3100000023841858,0.10499999672174454,0.995,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,9,"[[0.47797065027927815, 0.5704776911967959, 1.530090930385704], [0.013667717653438521]]",0.6139999628067017,2.8779999999999997
3,1.0,0.95,0.95,0.9399999976158142,0.12999999523162842,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,9,"[[0.47797065027927815, 0.5704776911967959, 1.530090930385704], [0.013667717653438521]]",0.9959999918937683,6.29
4,1.0,0.95,0.95,0.3199999928474426,0.10499999672174454,0.995,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,9,"[[0.47797065027927815, 0.5704776911967959, 1.530090930385704], [0.013667717653438521]]",0.625,2.665
5,1.0,0.95,0.95,0.9649999737739563,0.11500000208616257,1.0,1.0,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,0,"[[1.0618711085391173, 1.0255196400035549, 1.0162601820855468], [0.03147891553299085]]",1.0,4.0505
6,1.0,0.95,0.95,0.48500001430511475,0.08500000089406967,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,0,"[[1.0618711085391173, 1.0255196400035549, 1.0162601820855468], [0.03147891553299085]]",0.8090000152587891,2.318
7,1.0,0.95,0.95,0.5099999904632568,0.16500000655651093,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,0,"[[1.0618711085391173, 1.0255196400035549, 1.0162601820855468], [0.03147891553299085]]",0.6430000066757202,3.6069999999999998
8,1.0,0.95,0.95,0.9350000023841858,0.10499999672174454,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,0,"[[1.0618711085391173, 1.0255196400035549, 1.0162601820855468], [0.03147891553299085]]",0.9959999918937683,6.2155
9,1.0,0.95,0.95,0.5400000214576721,0.10000000149011612,1.0,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,0,"[[1.0618711085391173, 1.0255196400035549, 1.0162601820855468], [0.03147891553299085]]",0.6550000309944153,3.815
10,1.0,0.95,0.95,0.9399999976158142,0.13500000536441803,1.0,1.0,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,7,"[[0.8308607438744686, 0.8902179873771973, 1.1082338043805946], [0.02216930338216574]]",0.9979999661445618,3.9010000000000002
