r_type,t_type,years_experience_mean,degree_mean,nr_commits_mean,nr_languages_mean,nr_stars_mean,causes_mean,non-causes_mean,years_experience_std,degree_std,nr_commits_std,nr_languages_std,nr_stars_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.0,0.0,1036.715443886097,0.015067001675041875,3.457370184254606,0.0,1040.1878810720266,0.0,0.0,184.64086783765487,0.021909783050078704,3.2392729260593502,0.0,184.47183241194108,0.75
individualized,acceptance,0.0,0.0,1174.9381144781146,0.054696969696969695,2.020976430976431,0.0,1177.013787878788,0.0,0.0,394.5968600101342,0.1793239907650726,2.8415312473997756,0.0,393.1859496094904,0.85
individualized,acceptance,0.0,0.0,1024.5186683417085,0.0,0.0166750418760469,0.0,1024.5353433835846,0.0,0.0,73.22968276925528,0.0,0.012571412467874148,0.0,73.22347068322051,0.9
individualized,acceptance,0.0,0.0,1035.787730318258,0.0,0.006691792294807371,0.0,1035.7944221105527,0.0,0.0,114.17697846296227,0.0,0.00767876083287006,0.0,114.18354489811283,0.9499999999999998
subpopulation,acceptance,0.0,0.0,1028.4900168350168,0.008417508417508417,3.2922053872053874,0.0,1031.7906397306397,0.0,0.0,189.55179846952424,0.014579552252263277,3.102490111866351,0.0,189.33193365950692,0.75
subpopulation,acceptance,0.0,0.0,1145.54,0.045000000000000005,2.0316666666666667,0.0,1147.6166666666666,0.0,0.0,371.40953249075335,0.20130822139197396,2.5489425912196086,0.0,370.2972136113547,0.85
subpopulation,acceptance,0.0,0.0,1026.2366666666667,0.0016666666666666668,0.021666666666666667,0.0,1026.26,0.0,0.0,52.859422370409355,0.002886751345948129,0.01755942292142123,0.0,52.8643090846745,0.9
subpopulation,acceptance,0.0,0.0,988.2770435510888,-0.005,0.013366834170854271,0.0,988.2854103852596,0.0,0.0,85.61792012671643,0.008660254037844387,0.011576127029455747,0.0,85.6165431131799,0.9499999999999998
individualized,counterfactual,0.0,0.0,1039.9397236180905,0.0016666666666666668,3.305092127303183,0.0,1043.2464824120605,0.0,0.0,141.3570923424274,0.002886751345948129,3.05611846558892,0.0,140.79293330197208,0.75
individualized,counterfactual,0.0,0.0,1157.1746296296296,0.03952861952861953,2.0317171717171716,0.0,1159.2458754208753,0.0,0.0,376.2840141035172,0.2036055305073805,2.6693546599471514,0.0,375.0988727326155,0.85
individualized,counterfactual,0.0,0.0,989.2933333333334,0.0,0.01,0.0,989.3033333333333,0.0,0.0,33.329161905654466,0.0,0.008660254037844387,0.0,33.33777974510792,0.9
individualized,counterfactual,0.0,0.0,1012.3717252931323,0.008333333333333333,0.015041876046901173,0.0,1012.3951005025125,0.0,0.0,87.01251764845604,0.014433756729740647,0.01327635274527411,0.0,87.03078187702202,0.9499999999999998
individualized,improvement,0.5916666666666667,1.3683333333333334,,,,1.96,0.0,0.08220908303425684,0.1005402075457045,,,,0.08544003745317527,0.0,0.75
individualized,improvement,0.6266666666666666,1.2983333333333333,,,,1.925,0.0,0.11470977871713176,0.11729592206608598,,,,0.039999999999999813,0.0,0.85
individualized,improvement,0.6733333333333333,1.3783333333333332,,,,2.0516666666666663,0.0,0.10054020754570452,0.11557825631723871,,,,0.040104031385053265,0.0,0.9
individualized,improvement,0.695,1.5316666666666665,,,,2.2266666666666666,0.0,0.02179449471770332,0.055752428945592424,,,,0.0354729944229881,0.0,0.9499999999999998
subpopulation,improvement,0.5933333333333334,1.2766666666666666,,,,1.87,0.0,0.05131601439446884,0.10492060490358093,,,,0.09500000000000001,0.0,0.75
subpopulation,improvement,0.6059212730318259,1.3306700167504186,,,,1.9365912897822446,0.0,0.059376225728369245,0.06198427449704852,,,,0.04532333449465338,0.0,0.85
subpopulation,improvement,0.7266666666666666,1.4033333333333333,,,,2.1300000000000003,0.0,0.020207259421636918,0.15502687938977983,,,,0.13811227316933142,0.0,0.9
subpopulation,improvement,0.625,1.5650000000000002,,,,2.19,0.0,0.05196152422706637,0.040000000000000036,,,,0.026457513110645845,0.0,0.9499999999999998
