,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.9,0.9,0.99,0.0,0.99,0.99,"[5.0, 5.0]",300.0,0.5,individualized,improvement,0,,0.99,10.75
1,1.0,0.9,0.9,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,acceptance,0,,0.819,0.09705099999999998
2,1.0,0.9,0.9,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,counterfactual,0,,0.8320000000000001,0.09646799999999998
3,1.0,0.9,0.9,0.985,0.005,0.985,,"[5.0, 5.0]",300.0,0.5,subpopulation,improvement,0,,0.985,11.125
4,1.0,0.9,0.9,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,subpopulation,acceptance,0,,0.819,0.0961205
5,1.0,0.9,0.9,0.945,0.0,0.945,0.945,"[5.0, 5.0]",300.0,0.5,individualized,improvement,1,,0.945,9.9
6,1.0,0.9,0.9,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,acceptance,1,,0.724,0.10186
7,1.0,0.9,0.9,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,counterfactual,1,,0.739,0.10226299999999998
8,1.0,0.9,0.9,0.975,0.0,0.975,,"[5.0, 5.0]",300.0,0.5,subpopulation,improvement,1,,0.975,10.375
9,1.0,0.9,0.9,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,subpopulation,acceptance,1,,0.728,0.10007400000000001
10,1.0,0.9,0.9,0.94,0.0,0.94,0.94,"[5.0, 5.0]",300.0,0.5,individualized,improvement,2,,0.9399999999999998,10.3
11,1.0,0.9,0.9,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,acceptance,2,,0.7849999999999999,0.101365
12,1.0,0.9,0.9,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,counterfactual,2,,0.778,0.1032775
13,1.0,0.9,0.9,0.945,0.0,0.945,,"[5.0, 5.0]",300.0,0.5,subpopulation,improvement,2,,0.944,10.2
14,1.0,0.9,0.9,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,subpopulation,acceptance,2,,0.7779999999999999,0.10012250000000002
