r_type,t_type,pop_density_mean,flu_shot_mean,covid_shots_mean,bmi_diff_mean,appetite_loss_mean,fatigue_mean,fever_mean,causes_mean,non-causes_mean,pop_density_std,flu_shot_std,covid_shots_std,bmi_diff_std,appetite_loss_std,fatigue_std,fever_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.0005008375209380235,0.0,0.0033500837520938024,0.0,0.5540963149078727,0.0,0.0,0.0038509212730318252,0.5540963149078727,0.0005000021043195367,0.0,0.005802515268237445,0.0,0.007020622210110614,0.0,0.0,0.00582546308323825,0.007020622210110614,0.75
individualized,acceptance,-0.0003333333333333333,0.0,0.0,0.0,0.548,0.0,0.0,-0.0003333333333333333,0.548,0.0002886751345948129,0.0,0.0,0.0,0.016755596080116026,0.0,0.0,0.0002886751345948129,0.016755596080116026,0.85
individualized,acceptance,-0.00016666666666666666,0.0,0.0,0.0,0.4861666666666668,0.0,0.0,-0.00016666666666666666,0.4861666666666668,0.0005773502691896258,0.0,0.0,0.0,0.11287419250357159,0.0,0.0,0.0005773502691896258,0.11287419250357159,0.9
individualized,acceptance,-0.0003333333333333333,0.0,0.0,-0.00016666666666666666,0.5539999999999999,0.0,0.0,-0.0005,0.5539999999999999,0.0002886751345948129,0.0,0.0,0.0002886751345948129,0.015321553446044597,0.0,0.0,0.0005,0.015321553446044597,0.9499999999999998
subpopulation,acceptance,0.003813483813483814,0.0018018018018018018,0.0018018018018018018,0.0027324027324027327,0.5088941688941689,0.0,0.0,0.010149490149490152,0.5088941688941689,0.0021489834073242058,0.0031208122658898693,0.0031208122658898693,0.0005500522476225762,0.019322598364286882,0.0,0.0,0.008229441631790789,0.019322598364286882,0.75
subpopulation,acceptance,0.0017529371791283812,0.0,0.007036983771719117,0.0005217899863841142,0.5165716418281694,0.0,0.0,0.00931171093723161,0.5165716418281694,0.001083663190593802,0.0,0.0030712083588311616,0.0005181733937024207,0.02231335745946637,0.0,0.0,0.0021220585201690797,0.02231335745946637,0.85
subpopulation,acceptance,0.0005042215727494915,0.0,0.005033670033670033,0.00016666666666666666,0.4772583961441829,0.0,0.0,0.005704558273086192,0.4772583961441829,3.874197623480391e-06,0.0,0.005050589224887779,0.0002886751345948129,0.1270982921942335,0.0,0.0,0.005055701657325268,0.1270982921942335,0.9
subpopulation,acceptance,0.000164983164983165,0.0,0.00335016835016835,-0.00016666666666666666,0.5646582491582492,0.0,0.0,0.0033484848484848484,0.5646582491582492,0.0005802661796400784,0.0,0.002901440792241662,0.0002886751345948129,0.02060381148186368,0.0,0.0,0.0029388862416905143,0.02060381148186368,0.9499999999999998
individualized,counterfactual,-0.002005862646566164,0.0,0.0,-0.0006683417085427136,0.5384170854271356,0.0,0.0,-0.0026742043551088775,0.5384170854271356,0.0015088025123991598,0.0,0.0,0.00029157639222893167,0.017756286206751237,0.0,0.0,0.0017677559418671598,0.017756286206751237,0.75
individualized,counterfactual,0.0016691792294807372,0.0,0.0,0.0,0.5401122278056951,0.0,0.0,0.0016691792294807372,0.5401122278056951,0.002022911637710813,0.0,0.0,0.0005025125628140704,0.031209686032435638,0.0,0.0,0.0017555899267317477,0.031209686032435638,0.9499999999999998
individualized,improvement,-0.0895215416767141,0.040374026945644986,1.177214014249823,0.00018939393939393942,,,,1.128255893458148,0.0,0.019428617798892503,0.009334405191145046,0.006225557341473133,0.00032803992567592374,,,,0.00905608055830882,0.0,0.75
individualized,improvement,-0.170956589133861,0.03386407415746338,1.28270283805862,-0.00019157088122605365,,,,1.1454187522009964,0.0,0.017905406118382858,0.011250068872542044,0.02400899857181117,0.00033181049953426767,,,,0.007921300570910535,0.0,0.85
individualized,improvement,-0.2049762662405407,0.03746991305738704,1.4159613697755098,0.00036040248190682137,,,,1.2488154190742629,0.0,0.01242963760051625,0.005026423526751708,0.010061681509198197,0.0003121724176167582,,,,0.025712076749531684,0.0,0.9
individualized,improvement,-0.15253005630210278,0.0893150429264651,1.7349932344158268,0.0,,,,1.6717782210401892,0.0,0.01103147344189207,0.032003060048081934,0.027860688119114414,0.0,,,,0.0466289387619049,0.0,0.9499999999999998
subpopulation,improvement,-0.08482869202555443,0.04252991080532207,1.0637933298135935,0.00472326743598124,,,,1.0262178160293423,0.0,0.0024868699283539827,0.011940685119155385,0.07775249742575908,0.0017945679389839515,,,,0.08016638546409073,0.0,0.75
subpopulation,improvement,-0.11811354879295431,0.03125737202170323,1.2182773714974706,0.0016526434431600745,,,,1.1330738381693795,0.0,0.02054203143837812,0.006771167934656435,0.009377877863862344,0.0029137236348535478,,,,0.019433456523170203,0.0,0.85
subpopulation,improvement,-0.14939309455221328,0.03920189244546649,1.3468883036814494,-0.0002383071844516154,,,,1.236458794390251,0.0,0.018840266091754758,0.01752226708021068,0.031236086759518066,0.0037850523548353084,,,,0.01384113252433566,0.0,0.9
subpopulation,improvement,-0.1290955091714105,0.042886167174592225,1.5767350928641253,1.5333601671363092e-05,,,,1.4905410844689782,0.0,0.025498352315343118,0.019413005950867587,0.02582729883811897,0.007512918148357269,,,,0.029260520849911587,0.0,0.9499999999999998
