r_type,t_type,eta_mean,gamma_mean,perc_recomm_found_mean,eta_obs_mean,eta_obs_individualized_mean,eta_obs_refits_batch0_mean_mean,gamma_obs_mean,intv-cost_mean,eta_std,gamma_std,perc_recomm_found_std,eta_obs_std,eta_obs_individualized_std,eta_obs_refits_batch0_mean_std,gamma_obs_std,intv-cost_std
individualized,acceptance,0.75,0.75,1.0,0.9983333333333334,,0.9933332999547323,0.0016666666294137638,0.9966505387138566,0.0,0.0,0.0,0.0028867513459481316,,0.004163335664007669,0.002886751281424208,0.06141559664078444
individualized,acceptance,0.85,0.85,1.0,1.0,,0.9963333209355673,0.0,0.5486666666666667,0.0,0.0,0.0,0.0,,0.001527505565370602,0.0,0.016765540054926087
individualized,acceptance,0.9,0.9,1.0,1.0,,0.9933332999547323,0.0,0.48700000000000004,0.0,0.0,0.0,0.0,,0.0035119327179118495,0.0,0.11313818983879845
individualized,acceptance,0.9499999999999998,0.9499999999999998,1.0,1.0,,0.980666716893514,0.0,0.5551666666666667,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,,0.016502521481181608,0.0,0.015044378795195691
subpopulation,acceptance,0.75,0.75,1.0,0.8649999999999999,,0.862333357334137,0.009999999776482582,1.2500192890603472,0.0,0.0,0.0,0.013228756555322966,,0.012701714456535678,0.004999999888241291,0.060317435983496245
subpopulation,acceptance,0.85,0.85,1.0,0.945,,0.937333325544993,0.01999999986340602,0.5113333333333333,0.0,0.0,0.0,0.0050000000000000044,,0.009865755510452176,0.005000000353902585,0.02400694344004116
subpopulation,acceptance,0.9,0.9,1.0,0.9833333333333334,,0.9759999910990397,0.004999999888241291,0.48066666666666663,0.0,0.0,0.0,0.00763762615825974,,0.012288171210883377,0.004999999888241291,0.13169314079834737
subpopulation,acceptance,0.9499999999999998,0.9499999999999998,1.0,0.995,,0.9716666539510092,0.0033333332588275275,0.5671666666666667,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0050000000000000044,,0.01792573273043194,0.002886751281424208,0.020132891827388682
individualized,counterfactual,0.75,0.75,1.0,1.0,,0.9856666525204977,0.0016666666294137638,0.5435,0.0,0.0,0.0,0.0,,0.013051160937631468,0.002886751281424208,0.017755280904564703
individualized,counterfactual,0.9499999999999998,0.9499999999999998,1.0,1.0,,0.9909999767939249,0.0016666666294137638,0.5449999999999999,1.3597399555105182e-16,1.3597399555105182e-16,0.0,0.0,,0.004358924870084753,0.002886751281424208,0.03137275888410198
individualized,improvement,0.75,0.75,0.9533333333333333,0.8059061265729769,0.8233856893542758,0.8059061566988627,0.8059061169624329,0.559,0.0,0.0,0.0028867513459481316,0.01878894097307654,0.02042108548175925,0.018788987167154228,0.018788952754396522,0.012257650672131247
individualized,improvement,0.85,0.85,0.9716666666666667,0.8096578206780464,0.8370812621095359,0.8096578518549601,0.8096578319867452,1.4442992030719866,0.0,0.0,0.011547005383792525,0.008395169294516851,0.003978479538351975,0.00839521463676979,0.008395182704998566,0.028919226174794612
individualized,improvement,0.9,0.9,0.9783333333333334,0.8995399407770542,0.9148473901051221,0.8995399475097656,0.8995399475097656,1.6554070709740814,0.0,0.0,0.010408329997330674,0.02802413863299602,0.030854108172033216,0.028024163188780163,0.028024132513318194,0.019203834983069573
individualized,improvement,0.9499999999999998,0.9499999999999998,0.9916666666666667,0.9647390930966168,0.9714392606008045,0.9647390445073446,0.9647390842437744,1.9856431055446437,1.3597399555105182e-16,1.3597399555105182e-16,0.005773502691896262,0.009922983217557331,0.010420747929081323,0.009923016117926231,0.009922986444136398,0.018722302477313355
subpopulation,improvement,0.75,0.75,0.9516666666666665,0.5935424164385193,,0.5938860575358073,0.5935424168904623,0.4955,0.0,0.0,0.016072751268321604,0.014253848895275626,,0.014788020060513697,0.014253826912962054,0.01825513626352869
subpopulation,improvement,0.85,0.85,0.9683333333333333,0.759103775663054,,0.7604783574740092,0.7608219981193542,1.2488272094457662,0.0,0.0,0.00763762615825974,0.025022938045714017,,0.022800814139437957,0.022250419357027953,0.03470966335448332
subpopulation,improvement,0.9,0.9,0.9766666666666666,0.8072583599351092,,0.8072583675384521,0.8072583675384521,1.4581026884454589,0.0,0.0,0.00763762615825974,0.020021710401033455,,0.020021722727013344,0.020021722727013344,0.020227363621882388
subpopulation,improvement,0.9499999999999998,0.9499999999999998,0.9933333333333333,0.9127087212713313,,0.9127086997032166,0.9127087195714315,1.7367188905610966,1.3597399555105182e-16,1.3597399555105182e-16,0.00763762615825974,0.008380319885345105,,0.008380293819634331,0.008380319749114098,0.03149915943485904
