r_type,t_type,x1_mean,x2_mean,x3_mean,causes_mean,non-causes_mean,x1_std,x2_std,x3_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.19731608040201007,0.15103793969849247,1.8676994974874372,0.34835402010050254,1.8676994974874372,0.04645691240440348,0.06520716438548244,0.1407560519109716,0.08664702058744922,0.1407560519109716,0.75
individualized,acceptance,0.13374020100502512,0.13541005025125627,1.9167894472361808,0.26915025125628145,1.9167894472361808,0.03721270627005941,0.06009419792042471,0.13209886128884396,0.08281752366284117,0.13209886128884396,0.85
individualized,acceptance,0.21254849246231156,0.16234547738693467,2.0232620603015077,0.3748939698492462,2.0232620603015077,0.05744484702619006,0.055143228263321305,0.13364326411594837,0.08157503953392625,0.13364326411594837,0.9
individualized,acceptance,0.13815858585858587,0.1274570707070707,1.9129959595959594,0.26561565656565655,1.9129959595959594,0.028092980974664332,0.06485519500589862,0.1574676178403012,0.07265258091085874,0.1574676178403012,0.95
subpopulation,acceptance,0.035449246231155786,0.02115,2.2830866834170855,0.05659924623115579,2.2830866834170855,0.030031986810937567,0.030932767595401343,0.14682930600211824,0.04870520840335943,0.14682930600211824,0.75
subpopulation,acceptance,-0.001217664077965586,0.01285548703111517,2.2852498553372924,0.011637822953149586,2.2852498553372924,0.006841455687412255,0.016692771883533988,0.09727009751329398,0.01957160655436065,0.09727009751329398,0.85
subpopulation,acceptance,0.033429648241206034,0.024428643216080403,2.403818592964824,0.05785829145728644,2.403818592964824,0.03996983050361588,0.03289209335466247,0.22223818987508057,0.06060990197661728,0.22223818987508057,0.9
subpopulation,acceptance,0.004513387645297193,0.005488893964773362,2.295612390233998,0.010002281610070555,2.295612390233998,0.007967263460448973,0.013873600580110692,0.1693702121278859,0.018129141413915365,0.1693702121278859,0.95
individualized,counterfactual,0.03545050251256281,0.02434572864321608,2.322080653266332,0.0597962311557789,2.322080653266332,0.029124977427880467,0.03168040565714437,0.1443939731718561,0.053719098758364656,0.1443939731718561,0.75
individualized,counterfactual,-0.0001620603015075375,0.01051959798994975,2.292807286432161,0.010357537688442211,2.292807286432161,0.00982705157832742,0.014716925539372571,0.1512907758657208,0.019873179213813322,0.1512907758657208,0.85
individualized,counterfactual,0.03715,0.02715,2.45795,0.0643,2.45795,0.04236681746629339,0.04590149477110982,0.17711616558380855,0.07547339487086382,0.17711616558380855,0.9
individualized,counterfactual,0.0031527638190954775,0.005196984924623114,2.245036934673367,0.008349748743718594,2.245036934673367,0.00706405393545552,0.016435790736199666,0.12746964073691966,0.020187416497201214,0.12746964073691966,0.95
individualized,improvement,1.24685,0.8289,,2.07575,0.0,0.0499099466817765,0.11406133827414483,,0.12741429581400107,0.0,0.75
individualized,improvement,1.5119,0.93775,,2.44965,0.0,0.054710246856609114,0.12251717566665228,,0.11120777600709596,0.0,0.85
individualized,improvement,1.7484000000000002,1.1967,,2.9451,0.0,0.04921370631123906,0.0901425414428602,,0.0825159243890401,0.0,0.9
individualized,improvement,2.09175,1.2535500000000002,,3.3453000000000004,0.0,0.04990560534092777,0.13491611591404992,,0.130161907723505,0.0,0.95
subpopulation,improvement,1.1234870260392875,1.635941723770367,,2.7594287498096546,0.0,0.04012317126385975,0.08606503740903299,,0.08355338339235813,0.0,0.75
subpopulation,improvement,1.29167082381605,2.001252944012994,,3.292923767829044,0.0,0.06919495647492963,0.060100708970073656,,0.10870973908155306,0.0,0.85
subpopulation,improvement,1.5019500000000001,2.3531000000000004,,3.85505,0.0,0.11062259413579734,0.1179375540982034,,0.1650108498116277,0.0,0.9
subpopulation,improvement,1.73655,2.75685,,4.493399999999999,0.0,0.06824850425711425,0.06874875756453104,,0.11959696205729196,0.0,0.95
