scm,t_type,r_type,gamma,gamma_obs_mean,gamma_obs_std,eta_obs_mean,eta_obs_std,eta_obs_individualized_mean,eta_obs_individualized_std,eta_obs_refits_batch0_mean_mean,eta_obs_refits_batch0_mean_std,intv-cost_mean,intv-cost_std
3var-causal,CE,individualized,0.75,0.38,0.15,1.0,0.0,,,0.61,0.13,3.07,0.63
3var-causal,CE,individualized,0.95,0.49,0.07,1.0,0.0,,,0.41,0.16,3.29,0.13
3var-causal,CR,individualized,0.75,0.38,0.06,1.0,0.0,,,0.65,0.1,2.25,0.1
3var-causal,CR,individualized,0.85,0.42,0.15,1.0,0.0,,,0.69,0.2,4.3,0.03
3var-causal,CR,individualized,0.9,0.58,0.06,1.0,0.0,,,0.72,0.13,2.56,0.2
3var-causal,CR,individualized,0.95,0.47,0.09,1.0,0.0,,,0.69,0.06,2.41,0.11
3var-causal,CR,subpopulation,0.75,0.36,0.04,0.85,0.04,,,0.59,0.11,2.42,0.19
3var-causal,CR,subpopulation,0.85,0.4,0.13,0.96,0.02,,,0.67,0.24,3.95,0.36
3var-causal,CR,subpopulation,0.9,0.52,0.05,0.97,0.02,,,0.69,0.15,3.1,0.24
3var-causal,CR,subpopulation,0.95,0.45,0.15,0.98,0.02,,,0.68,0.12,2.75,0.3
3var-causal,MCR,individualized,0.75,0.79,0.05,0.98,0.03,1.0,0.0,0.95,0.02,3.46,0.21
3var-causal,MCR,individualized,0.85,0.85,0.03,0.99,0.02,1.0,0.0,0.95,0.05,2.44,0.54
3var-causal,MCR,individualized,0.9,0.9,0.02,1.0,0.0,1.0,0.0,0.99,0.01,3.92,0.37
3var-causal,MCR,individualized,0.95,0.96,0.01,1.0,0.0,1.0,0.0,0.99,0.01,4.22,0.38
3var-causal,MCR,subpopulation,0.75,0.75,0.03,0.94,0.01,,,0.92,0.02,3.6,0.43
3var-causal,MCR,subpopulation,0.85,0.88,0.02,0.98,0.01,,,0.94,0.03,2.51,0.6
3var-causal,MCR,subpopulation,0.9,0.9,0.02,1.0,0.0,,,0.99,0.01,3.91,0.2
3var-causal,MCR,subpopulation,0.95,0.94,0.02,1.0,0.0,,,0.99,0.0,3.98,0.24
3var-noncausal,CE,individualized,0.75,0.16,0.05,0.97,0.03,,,0.44,0.12,2.5,0.33
3var-noncausal,CE,individualized,0.95,0.17,0.02,1.0,0.0,,,0.8,0.04,2.34,0.22
3var-noncausal,CR,individualized,0.75,0.24,0.03,1.0,0.0,,,0.69,0.11,2.26,0.19
3var-noncausal,CR,individualized,0.85,0.24,0.03,1.0,0.0,,,0.71,0.11,2.17,0.16
3var-noncausal,CR,individualized,0.9,0.25,0.05,1.0,0.0,,,0.68,0.13,2.86,0.08
3var-noncausal,CR,individualized,0.95,0.26,0.05,1.0,0.0,,,0.63,0.06,2.27,0.06
3var-noncausal,CR,subpopulation,0.75,0.22,0.03,0.91,0.02,,,0.65,0.12,2.24,0.17
3var-noncausal,CR,subpopulation,0.85,0.17,0.04,0.95,0.02,,,0.65,0.16,2.25,0.33
3var-noncausal,CR,subpopulation,0.9,0.21,0.03,0.96,0.01,,,0.61,0.16,2.97,0.12
3var-noncausal,CR,subpopulation,0.95,0.17,0.06,0.99,0.01,,,0.59,0.04,2.35,0.15
3var-noncausal,MCR,individualized,0.75,0.76,0.02,0.94,0.0,0.79,0.02,0.93,0.01,2.13,0.04
3var-noncausal,MCR,individualized,0.85,0.88,0.03,0.99,0.01,0.91,0.01,0.98,0.01,2.52,0.11
3var-noncausal,MCR,individualized,0.9,0.9,0.03,1.0,0.0,0.95,0.02,1.0,0.0,2.21,0.06
3var-noncausal,MCR,individualized,0.95,0.94,0.01,1.0,0.0,0.98,0.01,1.0,0.0,3.31,0.13
3var-noncausal,MCR,subpopulation,0.75,0.72,0.03,0.76,0.07,,,0.76,0.07,1.91,0.09
3var-noncausal,MCR,subpopulation,0.85,0.82,0.01,0.92,0.02,,,0.92,0.02,2.52,0.1
3var-noncausal,MCR,subpopulation,0.9,0.88,0.04,0.97,0.0,,,0.98,0.0,2.21,0.19
3var-noncausal,MCR,subpopulation,0.95,0.93,0.02,0.98,0.01,,,0.99,0.01,3.13,0.1
5var-skill,CE,individualized,0.75,0.0,0.0,1.0,0.0,,,0.95,0.03,0.43,0.3
5var-skill,CE,individualized,0.85,0.0,0.0,1.0,0.0,,,0.88,0.17,0.32,0.26
5var-skill,CE,individualized,0.9,0.0,0.0,1.0,0.0,,,0.59,0.04,0.1,0.0
5var-skill,CE,individualized,0.95,0.0,0.0,1.0,0.0,,,0.67,0.18,10.95,0.13
5var-skill,CR,individualized,0.75,0.0,0.0,1.0,0.0,,,0.95,0.03,0.45,0.32
5var-skill,CR,individualized,0.85,0.0,0.0,1.0,0.0,,,0.89,0.17,0.32,0.27
5var-skill,CR,individualized,0.9,0.0,0.0,1.0,0.0,,,0.61,0.05,0.1,0.01
5var-skill,CR,individualized,0.95,0.0,0.0,1.0,0.0,,,0.68,0.18,0.1,0.01
5var-skill,CR,subpopulation,0.75,0.0,0.0,1.0,0.0,,,0.95,0.03,0.43,0.31
5var-skill,CR,subpopulation,0.85,0.0,0.0,1.0,0.0,,,0.89,0.18,0.32,0.24
5var-skill,CR,subpopulation,0.9,0.0,0.0,1.0,0.0,,,0.6,0.05,0.1,0.01
5var-skill,CR,subpopulation,0.95,0.0,0.0,1.0,0.0,,,0.67,0.18,11.04,0.09
5var-skill,MCR,individualized,0.75,0.94,0.02,0.94,0.02,0.94,0.02,0.94,0.02,9.8,0.43
5var-skill,MCR,individualized,0.85,0.93,0.01,0.94,0.01,0.93,0.01,0.93,0.01,9.62,0.2
5var-skill,MCR,individualized,0.9,0.96,0.02,0.96,0.02,0.96,0.02,0.96,0.02,10.26,0.2
5var-skill,MCR,individualized,0.95,0.99,0.01,0.99,0.01,0.99,0.01,0.99,0.01,0.1,0.01
5var-skill,MCR,subpopulation,0.75,0.93,0.02,0.93,0.01,,,0.93,0.01,9.35,0.48
5var-skill,MCR,subpopulation,0.85,0.94,0.01,0.94,0.01,,,0.94,0.01,9.67,0.22
5var-skill,MCR,subpopulation,0.9,0.96,0.02,0.96,0.02,,,0.96,0.02,10.65,0.69
5var-skill,MCR,subpopulation,0.95,0.98,0.01,0.98,0.01,,,0.98,0.01,0.1,0.01
7var-covid,CE,individualized,0.75,0.0,0.0,1.0,0.0,,,0.99,0.01,0.54,0.02
7var-covid,CE,individualized,0.95,0.0,0.0,1.0,0.0,,,0.99,0.0,0.54,0.03
