r_type,t_type,x1_mean,x2_mean,x3_mean,causes_mean,non-causes_mean,x1_std,x2_std,x3_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.16850670016750416,0.10293132328308208,1.8319438860971526,0.27143802345058626,1.8319438860971526,0.05669174236398695,0.04888227143895964,0.03546056482017094,0.018339627185089708,0.03546056482017094,0.75
individualized,acceptance,0.19483333333333333,0.17800000000000002,1.796833333333333,0.37283333333333335,1.796833333333333,0.024567933029323693,0.020475595229443262,0.16848244221085265,0.019276496915501387,0.16848244221085265,0.85
individualized,acceptance,0.151,0.2113333333333333,1.8868333333333334,0.36233333333333334,1.8868333333333334,0.02428476888916179,0.12802766628089934,0.07292861806817225,0.1316266816923276,0.07292861806817225,0.9
individualized,acceptance,0.19833333333333333,0.28783333333333333,1.9029999999999998,0.48616666666666664,1.9029999999999998,0.029901226284775224,0.07394310876162383,0.18738463117342372,0.08248383680051097,0.18738463117342372,0.9499999999999998
subpopulation,acceptance,0.0109983164983165,-0.004686868686868687,2.231506734006734,0.006311447811447812,2.231506734006734,0.02760992736880368,0.00513958809429337,0.11800692341733351,0.02355689629077079,0.11800692341733351,0.75
subpopulation,acceptance,0.02009966499162479,0.023602177554438858,2.3673860971524285,0.04370184254606365,2.3673860971524285,0.03748081841799116,0.027036217350871264,0.12867147833423323,0.06451702282748868,0.12867147833423323,0.85
subpopulation,acceptance,-0.00033082077051926293,0.04268509212730318,2.483827470686767,0.042354271356783914,2.483827470686767,0.0020241470716641135,0.05942105326613302,0.18416458146977097,0.06112276255595912,0.18416458146977097,0.9
subpopulation,acceptance,0.037755443886097154,0.09875628140703517,2.6254958123953096,0.13651172529313232,2.6254958123953096,0.036557362180704524,0.05783999160112727,0.11097120389005923,0.0808839460214775,0.11097120389005923,0.9499999999999998
individualized,counterfactual,0.014150643791347312,-0.003025210226215252,2.296703094597567,0.011125433565132061,2.296703094597567,0.025675313584815444,0.0034859574083299935,0.02638842880820766,0.02362748296922673,0.02638842880820766,0.75
individualized,counterfactual,0.014499162479061975,0.018834170854271356,2.2738475711892803,0.03333333333333333,2.2738475711892803,0.027290798642519334,0.023260207905048184,0.059193028968801596,0.05014312847572769,0.059193028968801596,0.85
individualized,counterfactual,-0.003338358458961474,0.028325795644891124,2.439959798994975,0.02498743718592965,2.439959798994975,0.0035111798534634944,0.04152500410710554,0.12814044420606327,0.03884553189035712,0.12814044420606327,0.9
individualized,counterfactual,0.03983333333333333,0.08616666666666667,2.5453333333333332,0.126,2.5453333333333332,0.038846921799974496,0.05352880844305553,0.1001203442529707,0.09010410645470049,0.1001203442529707,0.9499999999999998
individualized,improvement,1.2716666666666667,0.7611666666666667,,2.032833333333333,0.0,0.031758201040571095,0.04005413004089994,,0.015607156478145872,0.0,0.75
individualized,improvement,1.5335,0.964,,2.4975,0.0,0.10931262507139797,0.10375331320010937,,0.2113249866911152,0.0,0.85
individualized,improvement,1.7071666666666665,1.215,,2.922166666666667,0.0,0.007285830998131551,0.05802585630561608,,0.06039522608065439,0.0,0.9
individualized,improvement,2.109833333333333,1.3666666666666665,,3.4764999999999997,0.0,0.06336468522239613,0.04750087718488268,,0.088970500729174,0.0,0.9499999999999998
subpopulation,improvement,1.1035353535353536,1.5914141414141414,,2.6949494949494954,0.0,0.0353210528987998,0.15309862794481163,,0.13251970917206696,0.0,0.75
subpopulation,improvement,1.3484999999999998,2.052,,3.4004999999999996,0.0,0.01967866865415453,0.07385289432378395,,0.07475125417008086,0.0,0.85
subpopulation,improvement,1.4863333333333333,2.2241666666666666,,3.7105,0.0,0.12627780221928678,0.046325838722394624,,0.17195857059187222,0.0,0.9
subpopulation,improvement,1.7381666666666666,2.7648333333333333,,4.503,0.0,0.07937621390147906,0.0599423333991372,,0.0985608948823012,0.0,0.9499999999999998
