,x1,x2
2890,1.2,-0.0
2005,0.0,1.3
3324,0.9,2.1
3497,0.7,0.0
3297,1.9,-0.0
3589,1.4,0.0
2486,1.7,-0.0
3546,0.7,2.1
2059,1.9,0.0
2465,0.7,-0.0
2066,0.8,0.0
3047,2.1,-0.0
3128,1.6,-0.0
2130,1.7,0.0
3864,1.8,2.3
3853,2.2,-0.0
3080,0.3,2.6
3694,2.3,2.4
3282,1.4,-0.0
3863,1.0,0.0
3220,2.2,0.0
2312,1.5,0.0
3584,1.4,2.1
3903,0.6,0.0
2857,1.2,-0.0
3567,1.6,0.0
3781,1.2,0.0
2795,0.9,-0.0
3727,0.3,3.1
3314,0.6,0.0
3975,1.4,4.2
2711,1.4,0.0
3749,0.1,1.6
3461,0.6,1.3
2172,0.3,1.4
2923,1.9,-0.0
2787,1.2,-0.0
3610,0.9,-0.0
2441,1.1,-0.0
3913,3.3,1.8
3458,2.8,5.2
2837,0.9,0.0
2569,1.8,0.0
2796,1.5,-0.0
2096,1.0,0.0
3233,0.7,-0.0
3776,1.3,-0.0
2171,2.2,0.0
2431,2.1,0.9
2387,1.5,2.6
2750,1.9,3.6
2775,0.1,2.1
3650,2.3,1.9
3231,1.0,0.0
3966,1.7,2.6
3775,1.1,-0.0
3154,1.1,-0.0
2424,0.6,0.0
2012,2.0,-0.0
3118,1.1,0.0
3443,1.2,0.0
2464,-0.0,1.8
3112,1.5,-0.0
2680,2.2,0.0
3728,1.7,0.0
2255,0.9,0.0
3950,0.8,0.0
3152,1.4,1.4
3137,1.8,3.1
2341,2.1,-0.0
2614,0.2,1.9
3170,1.3,-0.0
3686,1.4,0.0
3097,1.1,0.0
2420,0.9,0.9
3467,1.3,2.1
2132,1.1,-0.0
2500,1.1,0.0
3015,1.4,0.0
2736,0.6,0.0
2430,1.7,0.0
2422,0.5,1.8
3545,0.8,2.1
2350,0.9,0.0
3982,1.3,-0.0
2621,2.3,2.3
2612,0.2,4.2
3399,1.0,-0.0
2617,2.3,3.1
2081,2.4,5.2
3305,1.0,-0.0
3308,0.7,-0.0
2289,0.3,1.8
2838,0.1,1.4
3813,0.1,3.1
3268,0.6,0.0
2834,1.2,-0.0
3085,1.4,3.1
3674,2.6,4.1
3533,0.1,2.6
3090,2.0,-0.0
2619,1.2,-0.0
3612,0.8,-0.0
2770,1.6,-0.0
3710,0.8,0.0
2629,3.0,2.1
3240,0.2,2.1
2874,1.0,0.0
3434,1.3,5.2
2860,2.6,3.1
3021,1.6,-0.0
2166,1.7,-0.0
2729,2.2,0.0
3628,1.5,0.0
3267,1.1,0.0
3280,1.3,0.0
2006,1.6,0.0
2669,1.0,0.0
2866,1.1,0.0
3822,2.7,0.0
2201,1.4,3.6
2623,1.0,2.3
3135,1.2,0.0
2489,1.3,0.0
2248,1.1,-0.0
2154,1.2,-0.0
2523,1.3,3.1
3873,2.0,0.0
3365,0.1,2.1
2515,1.2,0.0
2815,2.4,0.0
2562,0.5,3.1
3133,1.3,0.0
2293,0.3,2.6
2731,0.9,-0.0
2041,0.0,1.9
2826,0.9,0.0
3217,-0.0,2.6
3261,0.3,1.8
3603,1.3,2.1
3954,1.2,-0.0
3101,2.3,0.0
2529,0.9,2.1
3188,1.2,-0.0
3511,2.1,2.8
2376,1.1,0.0
2115,1.1,-0.0
2362,0.9,-0.0
2519,1.8,0.0
3186,2.2,0.0
2213,-0.0,2.1
2600,1.6,-0.0
2300,0.7,-0.0
2099,0.7,-0.0
2719,1.0,-0.0
3230,2.6,0.0
2978,0.7,2.1
3386,0.0,1.4
3578,1.0,0.7
3941,1.4,-0.0
3925,1.3,2.3
2921,0.1,1.3
3895,0.9,-0.0
2443,0.7,1.8
2755,1.2,0.0
2437,0.6,-0.0
2574,0.1,1.3
3127,1.9,1.7
2212,1.7,4.2
3724,2.8,2.6
2338,0.7,0.0
3414,2.5,0.0
2859,1.1,-0.0
2741,2.1,2.0
2727,2.3,0.0
3228,1.1,2.6
3933,1.1,2.6
2909,1.0,-0.0
2694,2.1,-0.0
3168,0.9,0.0
2993,0.4,3.6
3437,1.5,0.0
2068,0.9,-0.0
3299,0.7,1.9
2737,1.8,3.1
2332,2.9,2.1
2627,0.9,1.8
2152,0.9,-0.0
2877,1.3,0.0
3638,1.0,0.0
2995,2.7,-0.0
2135,1.3,0.0
2151,0.2,2.1
3398,2.2,1.3
3912,4.6,3.8
2027,0.8,-0.0
3808,1.4,-0.0
2270,0.3,1.3
2756,0.9,0.0
3777,0.7,-0.0
