,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,1.0,0.95,0.95,0.995,0.0,0.995,0.995,"[5.0, 5.0]",300.0,0.5,individualized,improvement,0,,0.9949999999999999,0.09521850000000001
1,1.0,0.95,0.95,0.005,0.005,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,acceptance,0,,0.481,0.09797700000000001
2,1.0,0.95,0.95,0.005,0.005,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,counterfactual,0,,0.47300000000000003,11.0
3,1.0,0.95,0.95,0.975,0.005,0.975,,"[5.0, 5.0]",300.0,0.5,subpopulation,improvement,0,,0.975,0.09679950000000001
4,1.0,0.95,0.95,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,subpopulation,acceptance,0,,0.462,11.1
5,1.0,0.95,0.95,0.985,0.0,0.985,0.985,"[5.0, 5.0]",300.0,0.5,individualized,improvement,1,,0.985,0.1173825
6,1.0,0.95,0.95,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,acceptance,1,,0.829,0.11393
7,1.0,0.95,0.95,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,counterfactual,1,,0.8240000000000001,10.8
8,1.0,0.95,0.95,0.99,0.0,0.99,,"[5.0, 5.0]",300.0,0.5,subpopulation,improvement,1,,0.99,0.1107525
9,1.0,0.95,0.95,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,subpopulation,acceptance,1,,0.813,10.975
10,1.0,0.95,0.95,0.98,0.0,0.98,0.98,"[5.0, 5.0]",300.0,0.5,individualized,improvement,2,,0.9800000000000001,0.09955399999999999
11,1.0,0.95,0.95,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,acceptance,2,,0.735,0.09652999999999999
12,1.0,0.95,0.95,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,individualized,counterfactual,2,,0.717,11.05
13,1.0,0.95,0.95,0.97,0.0,0.97,,"[5.0, 5.0]",300.0,0.5,subpopulation,improvement,2,,0.97,0.09265799999999999
14,1.0,0.95,0.95,0.0,0.0,1.0,,"[5.0, 5.0, 0.0001, 0.01, 0.1]",300.0,0.5,subpopulation,acceptance,2,,0.722,
