,x1,x2
3701,1.8,5.7
3408,1.6,0.0
3869,2.1,-0.0
3683,2.0,-0.0
2247,1.5,0.0
3746,2.1,-0.0
2861,1.6,-0.0
3578,0.6,2.6
2267,2.1,-0.0
2530,1.2,3.6
3531,2.0,-0.0
2887,1.9,-0.0
3412,1.6,-0.0
2164,1.6,-0.0
2519,0.6,1.8
2848,1.2,-0.0
2470,1.8,-0.0
3061,2.4,4.7
2433,2.2,0.0
3825,1.6,-0.0
3790,1.1,2.1
3139,1.9,0.0
3614,2.0,2.1
3312,1.4,0.0
3347,2.3,3.5
3427,2.2,4.2
2003,2.1,0.0
2245,1.0,0.0
2764,2.5,-0.0
3086,2.6,4.2
2543,1.4,0.0
2804,1.3,1.8
2143,1.8,-0.0
2063,2.0,-0.0
3385,1.4,-0.0
2487,1.8,4.1
2035,2.6,3.1
3832,0.9,1.9
2620,0.7,2.1
2636,2.2,0.0
3256,1.5,3.6
2287,2.1,4.2
2366,1.9,0.0
2083,2.3,0.0
2024,0.7,2.5
3045,2.5,-0.0
3250,1.3,2.1
2816,2.0,-0.0
3774,1.7,0.0
3364,2.2,-0.0
2568,2.2,-0.0
2825,1.1,-0.0
3465,2.5,0.0
2770,0.2,5.2
2790,2.3,2.8
2050,2.0,-0.0
2650,2.5,2.7
3942,1.5,4.1
2677,1.5,0.0
2886,2.2,0.0
2674,0.5,5.6
3536,1.6,0.0
3804,2.1,0.0
2588,1.8,0.0
2824,1.3,3.8
3393,1.5,-0.0
3129,1.1,-0.0
2845,1.9,-0.0
2776,3.3,0.0
3689,2.2,2.6
2507,1.3,0.0
3016,1.2,3.6
3307,3.4,-0.0
2656,0.6,4.1
2147,3.1,4.6
3050,1.3,0.0
2513,1.3,2.1
3395,0.0,3.6
3386,1.6,0.0
3805,1.7,0.0
3813,2.1,-0.0
2238,0.9,2.7
2717,1.7,-0.0
3589,1.5,-0.0
2346,0.4,3.1
2871,2.3,0.0
2978,1.2,0.0
3700,1.2,0.0
3178,1.8,4.7
3245,0.9,4.1
3725,1.4,-0.0
3808,2.0,-0.0
2423,2.0,-0.0
3705,0.8,3.6
2667,1.4,3.1
3643,2.2,0.0
2860,1.3,-0.0
3124,2.4,-0.0
3463,1.4,0.0
3639,3.4,0.0
3626,1.9,0.0
2923,1.8,0.0
2547,1.8,-0.0
2256,1.2,-0.0
2802,3.1,4.6
3558,3.5,0.0
3763,1.7,3.1
2141,0.9,3.1
2544,1.9,0.0
2889,2.1,-0.0
3059,1.7,-0.0
3148,1.6,-0.0
3609,2.1,-0.0
2556,2.2,-0.0
2418,2.3,0.0
2130,1.7,0.0
3750,1.0,3.8
3286,1.5,0.0
2975,1.2,2.1
2571,0.8,2.1
3664,2.4,-0.0
3984,3.2,2.1
3343,0.5,3.1
3462,1.8,3.0
3214,1.9,-0.0
2991,1.3,-0.0
2722,1.4,0.0
2359,2.8,4.1
3786,3.7,-0.0
3495,2.1,0.0
3999,1.4,0.0
3569,0.1,2.3
3837,2.1,4.2
3146,2.5,2.3
3491,1.4,-0.0
3703,2.2,0.0
3742,2.5,-0.0
2686,2.0,0.0
2525,1.2,-0.0
3504,2.2,0.0
2852,1.4,-0.0
2469,2.0,0.0
3913,2.1,2.4
2466,1.4,0.0
2702,1.3,1.6
3880,1.4,-0.0
2557,2.3,-0.0
3860,0.8,2.1
3828,1.9,-0.0
2780,2.0,0.0
2757,1.2,-0.0
2098,1.6,0.0
3909,1.9,-0.0
3299,4.1,3.1
3137,1.3,0.0
2148,0.2,2.3
3640,1.0,-0.0
2885,1.8,0.0
2689,1.9,-0.0
3611,0.8,4.6
2624,1.0,0.0
3955,2.7,0.0
2573,3.1,2.7
3126,1.0,-0.0
2953,1.3,0.0
2788,3.5,3.3
3488,1.4,0.0
2741,2.6,3.6
2710,3.1,4.6
2693,2.2,-0.0
2541,1.9,0.0
2086,2.6,-0.0
2334,1.6,0.0
2902,1.5,-0.0
2803,2.2,0.0
3189,1.6,2.1
2012,1.9,-0.0
2153,2.2,2.3
3223,1.3,3.1
3518,1.0,2.1
2356,1.4,0.0
3753,1.5,-0.0
3899,1.8,-0.0
2895,2.8,0.0
2863,3.0,-0.0
3306,2.6,3.3
3486,1.9,0.0
3580,1.5,-0.0
2559,-0.0,2.8
2411,2.1,0.0
2933,2.7,-0.0
3538,1.3,6.6
3091,0.8,3.1
3237,1.3,0.0
2263,1.5,-0.0
2227,1.9,0.0
3241,2.4,0.0
2538,2.1,3.3
2742,1.7,0.0
2061,1.1,0.0
