,years_experience,degree
3758,0.0,1.0
3996,2.0,1.0
3812,0.0,3.0
2612,1.0,0.0
2103,2.0,0.0
2832,0.0,3.0
2950,0.0,2.0
3408,1.0,1.0
2631,0.0,3.0
3063,0.0,2.0
2323,0.0,2.0
2256,0.0,1.0
3462,3.0,1.0
2307,3.0,1.0
2439,1.0,1.0
2589,0.0,2.0
2000,1.0,1.0
2173,0.0,1.0
3437,1.0,1.0
3175,2.0,1.0
2328,1.0,3.0
3985,1.0,1.0
2376,0.0,3.0
2493,0.0,1.0
2632,0.0,1.0
2448,1.0,1.0
2061,1.0,1.0
3755,1.0,0.0
3685,0.0,3.0
3767,1.0,1.0
2569,2.0,1.0
3280,1.0,1.0
2134,1.0,1.0
3357,1.0,1.0
2801,2.0,1.0
2473,1.0,2.0
2849,2.0,1.0
3659,0.0,1.0
2701,2.0,1.0
3306,1.0,0.0
3679,0.0,1.0
3940,0.0,1.0
2875,0.0,3.0
3914,0.0,1.0
2947,2.0,1.0
2858,0.0,3.0
3479,0.0,3.0
2236,1.0,1.0
3535,0.0,1.0
2206,0.0,1.0
2978,0.0,2.0
2145,0.0,1.0
2298,1.0,3.0
3573,1.0,0.0
3623,1.0,2.0
3870,2.0,0.0
2923,0.0,2.0
3988,1.0,2.0
3416,1.0,1.0
3487,1.0,1.0
3450,0.0,1.0
3999,0.0,2.0
2777,0.0,1.0
2398,2.0,1.0
3835,1.0,1.0
3839,2.0,1.0
3347,0.0,3.0
2055,1.0,1.0
3064,2.0,0.0
2674,0.0,1.0
3776,0.0,3.0
2153,0.0,1.0
3122,0.0,1.0
2504,1.0,1.0
2804,0.0,3.0
3822,0.0,1.0
3454,1.0,1.0
2288,0.0,1.0
3817,0.0,2.0
3580,0.0,3.0
2738,0.0,1.0
3318,0.0,1.0
3009,1.0,3.0
2396,1.0,2.0
2888,0.0,2.0
3886,1.0,1.0
3207,1.0,1.0
3237,1.0,0.0
2393,1.0,1.0
2883,1.0,1.0
2787,0.0,1.0
3013,2.0,1.0
2635,0.0,1.0
2920,0.0,1.0
3108,1.0,1.0
2848,0.0,1.0
3257,1.0,3.0
3090,0.0,3.0
2903,2.0,1.0
2915,1.0,1.0
2072,2.0,0.0
2683,0.0,1.0
3272,0.0,1.0
3150,1.0,1.0
3445,0.0,2.0
2892,0.0,1.0
2198,0.0,2.0
3630,0.0,1.0
2457,0.0,1.0
3931,0.0,3.0
3633,1.0,0.0
3442,2.0,1.0
3574,0.0,2.0
3188,0.0,1.0
2868,0.0,1.0
3199,0.0,3.0
3739,1.0,0.0
2530,1.0,1.0
3559,0.0,2.0
2607,1.0,1.0
3936,1.0,1.0
3292,1.0,2.0
2287,0.0,1.0
2142,1.0,1.0
2445,0.0,2.0
3195,0.0,2.0
2679,0.0,3.0
2862,2.0,0.0
3072,2.0,1.0
3339,0.0,3.0
3683,0.0,3.0
2748,1.0,0.0
2147,1.0,1.0
2343,0.0,3.0
2371,1.0,1.0
2244,1.0,1.0
2879,2.0,1.0
2126,3.0,1.0
2429,1.0,1.0
2117,0.0,2.0
2578,1.0,3.0
2698,1.0,3.0
3185,2.0,0.0
2564,0.0,1.0
2664,0.0,1.0
2476,1.0,0.0
2374,0.0,3.0
3092,1.0,1.0
2518,0.0,1.0
3972,0.0,1.0
3330,1.0,3.0
2696,3.0,0.0
2087,0.0,1.0
2634,1.0,1.0
3693,0.0,1.0
2551,0.0,1.0
3261,0.0,1.0
2962,0.0,2.0
3961,0.0,1.0
3432,0.0,3.0
3054,0.0,3.0
2086,0.0,2.0
2793,2.0,0.0
2893,1.0,3.0
2191,0.0,1.0
3798,2.0,1.0
3112,1.0,0.0
3520,1.0,0.0
2379,3.0,1.0
3757,2.0,2.0
3969,0.0,2.0
2437,1.0,1.0
3648,1.0,1.0
2355,0.0,1.0
2271,0.0,2.0
2415,1.0,1.0
3941,2.0,1.0
3191,3.0,0.0
3718,2.0,0.0
2324,2.0,0.0
2517,0.0,3.0
3529,0.0,3.0
3328,3.0,1.0
3219,1.0,2.0
2808,1.0,1.0
3753,0.0,1.0
3670,1.0,1.0
2015,0.0,1.0
3026,3.0,1.0
3584,0.0,1.0
3702,1.0,1.0
2745,1.0,0.0
3903,0.0,2.0
3613,1.0,0.0
2876,1.0,2.0
3547,0.0,1.0
2544,2.0,0.0
2009,0.0,1.0
2795,0.0,2.0
2426,2.0,0.0
