r_type,t_type,years_experience_mean,degree_mean,nr_commits_mean,nr_languages_mean,nr_stars_mean,causes_mean,non-causes_mean,years_experience_std,degree_std,nr_commits_std,nr_languages_std,nr_stars_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.0,0.0,1006.6351088777219,0.0,0.0033333333333333335,0.0,1006.6384422110553,0.0,0.0,40.70752323002472,0.0,0.005773502691896258,0.0,40.703300600412724,0.75
individualized,acceptance,0.0,0.0,988.6466666666666,0.0,0.0,0.0,988.6466666666666,0.0,0.0,8.180730916815065,0.0,0.0,0.0,8.180730916815065,0.85
individualized,acceptance,0.0,0.0,982.2533333333334,0.0033333333333333335,0.018333333333333333,0.0,982.275,0.0,0.0,22.014882087654534,0.005773502691896258,0.027537852736430512,0.0,22.0080434159877,0.9
individualized,acceptance,0.0,0.0,1185.5133333333333,0.0016666666666666668,2.0066666666666664,0.0,1187.5216666666668,0.0,0.0,428.3592799955819,0.002886751345948129,3.312070097889435,0.0,426.7805673391577,0.9499999999999998
subpopulation,acceptance,0.0,0.0,983.8474371859296,0.0,0.0,0.0,983.8474371859296,0.0,0.0,45.873769265656804,0.0,0.0,0.0,45.873769265656804,0.75
subpopulation,acceptance,0.0,0.0,1002.156256281407,0.011700167504187606,0.01340033500837521,0.0,1002.1813567839196,0.0,0.0,18.908181854458196,0.010448646859268457,0.02321006107294978,0.0,18.917915852333074,0.85
subpopulation,acceptance,0.0,0.0,973.7473181049069,0.0017174280879864634,0.013460236886632825,0.0,973.7624957698816,0.0,0.0,27.532510026870295,0.007720757672146657,0.012760222225115662,0.0,27.52810050968597,0.9
subpopulation,acceptance,0.0,0.0,1211.4488024296568,0.0033670033670033673,1.957668307869313,0.0,1213.409837740893,0.0,0.0,453.74246731276673,0.005831820900905312,3.325965978385959,0.0,451.911954181754,0.9499999999999998
individualized,counterfactual,0.0,0.0,976.7483333333333,0.0,0.01,0.0,976.7583333333333,0.0,0.0,5.579951463349249,0.0,0.01,0.0,5.584076318723929,0.75
individualized,counterfactual,0.0,0.0,998.4050000000001,0.015,0.04833333333333333,0.0,998.4683333333332,0.0,0.0,42.441008176055384,0.02179449471770337,0.08371578903249573,0.0,42.396033521230905,0.85
individualized,counterfactual,0.0,0.0,989.8912646566164,0.0016666666666666668,0.018333333333333333,0.0,989.9112646566164,0.0,0.0,33.38965915469054,0.002886751345948129,0.031754264805429415,0.0,33.37830377036876,0.9
individualized,counterfactual,0.0,0.0,1170.4417671691792,0.0,2.1687688442211055,0.0,1172.6105360134004,0.0,0.0,397.89052889120643,0.0,3.5463579625426895,0.0,396.0756741597753,0.9499999999999998
individualized,improvement,0.59,1.2983333333333333,,,,1.8883333333333334,0.0,0.017320508075688787,0.017559422921421194,,,,0.02565800719723455,0.0,0.75
individualized,improvement,0.5516666666666666,1.4016666666666666,,,,1.9533333333333331,0.0,0.02020725942163687,0.020816659994661344,,,,0.012583057392117883,0.0,0.85
individualized,improvement,0.7000000000000001,1.3633333333333333,,,,2.063333333333333,0.0,0.03968626966596883,0.06211548384528077,,,,0.08504900548115378,0.0,0.9
individualized,improvement,0.6766666666666667,1.6083333333333334,,,,2.285,0.0,0.0425245027405769,0.04368447474027051,,,,0.07000000000000003,0.0,0.9499999999999998
subpopulation,improvement,0.61,1.2750000000000001,,,,1.8849999999999998,0.0,0.021794494717703387,0.07053367989832947,,,,0.0736545993132813,0.0,0.75
subpopulation,improvement,0.5809212730318257,1.3305192629815745,,,,1.9114405360134004,0.0,0.028629209893624167,0.01716546309417919,,,,0.042013629098277785,0.0,0.85
subpopulation,improvement,0.7000000000000001,1.4133333333333333,,,,2.1133333333333333,0.0,0.11357816691600552,0.11094292827095074,,,,0.09827681991870388,0.0,0.9
subpopulation,improvement,0.63,1.555,,,,2.185,0.0,0.020000000000000018,0.07697402159170331,,,,0.06499999999999995,0.0,0.9499999999999998
