,senior-level_skill
2400,1.0
3274,1.0
2109,1.0
3932,1.0
3704,1.0
2761,1.0
3578,1.0
2170,1.0
3543,1.0
2618,1.0
2817,1.0
3629,1.0
3613,1.0
2068,1.0
2512,1.0
2337,1.0
2208,1.0
2489,1.0
2707,1.0
3735,1.0
2465,1.0
3980,1.0
2677,0.0
2555,1.0
3252,1.0
2350,1.0
2474,1.0
3842,1.0
3686,1.0
3489,1.0
2722,1.0
3469,1.0
2389,1.0
2459,1.0
3517,1.0
3086,1.0
2828,1.0
2402,1.0
2876,1.0
3127,1.0
3386,1.0
2624,1.0
3106,1.0
2833,1.0
2638,1.0
2616,1.0
2881,1.0
2668,1.0
3440,1.0
3749,1.0
2801,1.0
3325,1.0
3630,1.0
2144,1.0
3379,1.0
2998,1.0
2779,1.0
2870,1.0
3458,1.0
2533,1.0
2121,1.0
2001,1.0
2675,1.0
2192,1.0
3412,1.0
2165,1.0
3601,1.0
2656,1.0
2470,1.0
2367,1.0
3879,1.0
3363,1.0
3575,1.0
3344,1.0
3633,1.0
3772,1.0
3248,0.0
3505,1.0
2175,1.0
2560,1.0
2101,1.0
3400,1.0
2936,1.0
2298,1.0
3828,1.0
3946,1.0
2546,1.0
3680,1.0
2966,1.0
2514,1.0
3196,1.0
2741,1.0
3245,1.0
2576,1.0
2680,1.0
3606,1.0
2306,1.0
2267,1.0
2758,1.0
2095,1.0
3418,1.0
2691,1.0
3277,1.0
3376,1.0
2486,1.0
3288,1.0
2934,1.0
2372,1.0
3342,1.0
3763,1.0
2620,1.0
3068,1.0
2794,1.0
3059,1.0
2785,1.0
3413,1.0
3211,0.0
3810,1.0
2132,1.0
3724,1.0
3788,1.0
2814,1.0
3303,1.0
2380,1.0
3147,1.0
3119,1.0
3219,1.0
3070,1.0
3773,1.0
3437,1.0
2091,1.0
3370,1.0
3594,1.0
3500,1.0
2027,1.0
3775,1.0
3377,1.0
2075,1.0
3714,1.0
3112,1.0
2440,1.0
2845,1.0
3870,1.0
2243,1.0
3648,1.0
2194,1.0
2334,1.0
3581,1.0
3777,0.0
3743,1.0
2275,1.0
3926,1.0
2565,1.0
3191,1.0
3193,1.0
3131,1.0
3492,0.0
2361,1.0
2354,1.0
2094,1.0
3537,1.0
2118,1.0
3756,1.0
3228,1.0
2771,1.0
3850,1.0
2885,1.0
3858,1.0
3422,1.0
3650,1.0
2939,1.0
3834,1.0
3067,1.0
3989,1.0
3762,1.0
3214,1.0
3023,1.0
2447,1.0
3845,1.0
2450,1.0
2188,1.0
3108,1.0
2392,1.0
2581,1.0
3807,1.0
3679,1.0
2717,1.0
2422,1.0
3526,1.0
3146,1.0
3339,1.0
3450,1.0
3039,1.0
2775,1.0
2167,1.0
2614,1.0
3576,1.0
3018,1.0
3030,1.0
3206,1.0
