,x1,x2
2725,1.5,2.0
3156,1.9,-0.0
3885,0.5,1.3
3423,2.5,4.2
2699,1.3,0.5
2402,2.7,-0.0
3221,0.2,3.3
2808,2.4,0.0
2822,2.1,4.2
3048,2.2,0.0
2364,0.4,1.3
3346,2.9,1.7
3252,1.7,1.6
3571,2.3,-0.0
3487,2.1,1.3
2176,3.1,0.0
3947,2.4,0.0
2671,0.7,0.0
3754,1.6,-0.0
3144,2.3,2.1
2801,1.9,-0.0
2077,2.5,0.0
3068,2.1,-0.0
3342,2.1,1.7
2429,2.3,0.9
3857,1.0,-0.0
2481,0.4,1.7
2195,2.2,4.6
3224,2.5,0.0
3041,0.9,0.6
3774,1.5,0.0
2460,0.5,2.8
3150,1.6,-0.0
2533,3.5,-0.0
3400,1.7,4.1
2012,0.9,-0.0
2342,2.6,0.0
3650,0.0,2.9
2366,2.2,-0.0
2759,2.2,0.0
2653,0.5,0.0
3220,2.2,3.6
3332,1.0,4.4
2774,2.7,0.0
3553,2.0,-0.0
2381,2.8,-0.0
2631,0.2,1.3
2278,0.1,2.8
3245,1.6,-0.0
2171,1.0,-0.0
2775,2.0,4.0
2338,3.0,-0.0
3697,1.9,-0.0
2463,1.9,0.0
2831,2.8,3.4
3471,2.1,0.0
3237,2.7,0.0
2341,3.4,-0.0
3005,1.1,1.8
3179,0.4,3.2
3883,1.1,0.9
2656,1.8,2.9
2959,2.5,0.0
3204,1.6,0.0
2623,1.7,2.0
2268,1.9,1.6
3783,2.3,-0.0
2104,2.0,-0.0
2581,0.3,2.7
2435,1.9,2.6
3785,1.1,0.0
3004,2.1,1.6
2472,1.4,2.5
3840,2.9,-0.0
3618,0.0,3.0
2530,1.4,0.9
3102,1.8,-0.0
2630,2.0,0.0
3066,1.5,3.0
2180,2.5,0.0
2235,2.8,-0.0
2802,0.3,1.9
2485,2.5,0.0
3540,2.7,-0.0
3854,2.5,0.0
3875,1.8,0.0
3194,-0.0,2.1
2380,2.0,2.7
3666,2.1,0.0
3227,0.1,3.9
2329,1.9,-0.0
2666,1.5,-0.0
3327,2.9,0.0
3368,1.2,0.0
3043,2.1,5.2
3970,2.8,4.0
3339,1.8,2.5
3955,0.7,-0.0
2551,2.3,3.1
2276,1.7,-0.0
3692,0.8,0.0
2426,2.0,0.0
3565,1.1,0.0
2004,1.3,-0.0
2373,2.2,0.0
2591,0.8,0.0
3315,3.0,5.5
3601,2.8,-0.0
2600,2.4,3.7
2502,3.2,-0.0
2730,2.0,0.0
2871,0.6,1.4
3482,1.8,4.1
3493,1.7,-0.0
3617,1.2,0.0
2294,2.1,-0.0
2791,1.3,3.0
2968,3.1,-0.0
2701,0.2,1.3
3958,3.4,-0.0
3446,0.5,0.0
3859,3.7,0.0
3266,2.8,-0.0
2622,1.4,0.0
3494,0.9,-0.0
3454,0.3,-0.0
3139,1.0,-0.0
3813,0.6,3.3
2448,-0.0,2.0
2116,1.2,0.0
3288,1.9,-0.0
3427,1.0,0.5
3094,0.7,0.0
3616,2.2,-0.0
2937,2.5,0.0
2495,2.7,4.6
3135,2.3,-0.0
2225,1.9,0.0
3178,3.3,0.0
2869,0.9,-0.0
2302,4.6,0.0
3188,1.1,3.1
2208,1.4,3.6
3929,1.7,-0.0
3218,0.4,0.0
3022,0.8,1.8
2207,1.8,-0.0
3869,1.3,2.4
2455,2.8,0.0
3512,1.5,0.0
2967,1.1,4.7
2469,1.5,-0.0
2314,1.1,-0.0
3468,3.5,3.1
2224,1.9,0.5
2702,2.1,1.0
2073,2.0,0.0
3246,1.2,-0.0
2377,0.9,4.0
2194,1.6,2.3
3906,3.3,5.0
2002,1.2,0.0
2889,0.5,1.3
2396,1.5,3.5
3186,1.3,0.0
3097,3.9,4.1
2335,1.1,0.0
2149,1.7,-0.0
2257,3.3,4.0
3180,0.0,3.0
2637,0.9,0.0
2078,2.0,-0.0
3299,0.8,0.0
3114,2.9,-0.0
3209,0.0,5.0
2438,1.9,-0.0
3701,0.8,-0.0
3510,1.2,0.0
2281,-0.0,2.8
3577,3.0,0.0
2720,1.4,3.8
2137,1.6,-0.0
2287,2.5,2.2
2989,2.3,3.2
2421,0.8,0.0
2877,1.0,-0.0
3148,2.0,0.0
2212,2.0,2.3
3098,2.1,0.0
3201,2.8,2.4
3380,1.7,5.1
2835,1.8,-0.0
2378,2.0,-0.0
2252,1.9,2.8
3678,2.5,0.0
3242,0.8,0.0
2994,0.8,3.0
3306,1.3,2.0
2754,1.0,-0.0
2993,2.6,-0.0
