r_type,t_type,eta_mean,gamma_mean,perc_recomm_found_mean,eta_obs_mean,eta_obs_individualized_mean,eta_obs_refits_batch0_mean_mean,gamma_obs_mean,intv-cost_mean,eta_std,gamma_std,perc_recomm_found_std,eta_obs_std,eta_obs_individualized_std,eta_obs_refits_batch0_mean_std,gamma_obs_std,intv-cost_std
individualized,acceptance,0.75,0.75,1.0,1.0,,0.6939000010490417,0.4709999978542328,2.3737500000000002,0.0,0.0,0.0,0.0,,0.10742796514489678,0.039637244618088756,0.3559478933464528
individualized,acceptance,0.85,0.85,1.0,1.0,,0.7076999932527542,0.5030000030994415,2.29305,0.0,0.0,0.0,0.0,,0.16069988504125546,0.05563772014665078,0.30109517229237964
individualized,acceptance,0.9,0.9,1.0,1.0,,0.7074000149965286,0.4594999969005585,3.0366999999999997,0.0,0.0,0.0,0.0,,0.1186705962285076,0.10817809673771972,0.46375269990229334
individualized,acceptance,0.95,0.95,1.0,1.0,,0.7352999925613404,0.5074999868869782,2.3393,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.0,,0.10787962678005307,0.0515455518284658,0.3291023312655875
subpopulation,acceptance,0.75,0.75,1.0,1.0,,0.5914999902248382,0.42450000047683717,3.14525,0.0,0.0,0.0,0.0,,0.21524675547448352,0.08060363133307766,0.34777748713157897
subpopulation,acceptance,0.85,0.85,1.0,1.0,,0.5594999983906745,0.47400000095367434,3.35745,0.0,0.0,0.0,0.0,,0.2774712179452313,0.06445497898094261,0.34463269094307725
subpopulation,acceptance,0.9,0.9,1.0,0.9984999999999999,,0.6010999977588654,0.43450000286102297,3.7760000000000002,0.0,0.0,0.0,0.002415229457698242,,0.18803040006780639,0.10313018584907456,0.2662926022254468
subpopulation,acceptance,0.95,0.95,1.0,0.9995,,0.6752000004053116,0.46150000393390656,3.25945,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.0015811388300841912,,0.1812768154012603,0.06712551341126001,0.4222200222895904
individualized,counterfactual,0.75,0.75,1.0,0.9995,,0.592300009727478,0.43699999451637267,3.1084,0.0,0.0,0.0,0.0015811388300841912,,0.20508647375439712,0.07188725237328328,0.3469379387344851
individualized,counterfactual,0.85,0.85,1.0,0.9984999999999999,,0.5819000080227852,0.4679999977350235,3.2683,0.0,0.0,0.0,0.002415229457698242,,0.2712745568056729,0.08031881023278152,0.3557653877362314
individualized,counterfactual,0.9,0.9,1.0,0.9995,,0.6098000019788742,0.43549999594688416,5.6357,0.0,0.0,0.0,0.0015811388300841912,,0.19336598299189925,0.09470567510767774,0.13927036057012718
individualized,counterfactual,0.95,0.95,1.0,0.9995,,0.6714999943971633,0.46249999701976774,3.2098500000000003,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.0015811388300841912,,0.18167934820106818,0.07311520308432005,0.3546745025763451
individualized,improvement,0.75,0.75,1.0,0.9935,1.0,0.9564999759197235,0.7734999895095825,3.3850499999999997,0.0,0.0,0.0,0.009442810316143538,0.0,0.03417358578739199,0.014151955090352619,0.18315831797776605
individualized,improvement,0.85,0.85,1.0,0.9995,1.0,0.9794000327587128,0.8745000004768372,3.8234000000000004,0.0,0.0,0.0,0.0015811388300841912,0.0,0.012518448819389906,0.024771175443121456,0.26118679990467447
individualized,improvement,0.9,0.9,1.0,0.9974999999999999,1.0,0.9862000048160553,0.9184999883174896,2.2278,0.0,0.0,0.0,0.006346477588219929,0.0,0.011631349456257496,0.02494995596773123,0.2078045556125596
individualized,improvement,0.95,0.95,1.0,0.9995,1.0,0.9899999737739563,0.948499995470047,3.9141500000000002,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.0015811388300841912,0.0,0.013808209803543286,0.018863538158784155,0.23558650805548642
subpopulation,improvement,0.75,0.75,1.0,0.998,,0.9467999815940857,0.7340000092983245,4.61015,0.0,0.0,0.0,0.004830458915396484,,0.08157178422024236,0.03071373268082677,0.1336128424466253
subpopulation,improvement,0.85,0.85,1.0,0.9984999999999999,,0.9687000036239624,0.8460000097751618,5.248,0.0,0.0,0.0,0.003374742788552768,,0.023385864503698565,0.02118700384849232,0.20377356714418748
subpopulation,improvement,0.9,0.9,1.0,0.9984999999999999,,0.9810999929904938,0.8949999988079071,3.0603,0.0,0.0,0.0,0.003374742788552768,,0.013714962358904641,0.01986062487947143,0.42942145834702866
subpopulation,improvement,0.95,0.95,1.0,1.0,,0.9795999944210052,0.946999990940094,6.435300000000001,1.1702778228589004e-16,1.1702778228589004e-16,0.0,0.0,,0.02727308373625916,0.009486823933156181,0.16565429195902046
