r_type,t_type,x1_mean,x2_mean,x3_mean,causes_mean,non-causes_mean,x1_std,x2_std,x3_std,causes_std,non-causes_std,gamma
individualized,acceptance,0.58855,0.5035499999999999,1.28095,2.37305,0.0,0.14784910663691322,0.21124070656743954,0.5569649624926548,0.3562504931770466,0.0,0.75
individualized,acceptance,0.6618183417085428,0.4873992462311557,1.144527135678392,2.2937447236180906,0.0,0.21033288407819575,0.1612316252112854,0.5247923769549939,0.30266316402279875,0.0,0.85
individualized,acceptance,0.5760668341708544,0.4855469849246231,1.1661484924623116,2.2277623115577887,0.0,0.2578826002489667,0.3138899907917913,0.4799172422584126,0.2066037455408866,0.0,0.9
individualized,acceptance,0.69985,0.5464,1.09175,2.338,0.0,0.20731726223887434,0.2660589742477742,0.5355200613526174,0.3305009665475864,0.0,0.95
subpopulation,acceptance,0.434,0.77105,1.9392,3.14425,0.0,0.23564745324790212,0.5756812606719875,0.6825975388177135,0.3483646915709647,0.0,0.75
subpopulation,acceptance,0.701,0.71885,1.9375,3.3573499999999994,0.0,0.4367392433325252,0.414205601791617,0.582941773345427,0.3446689272975507,0.0,0.85
subpopulation,acceptance,0.4983000000000001,0.6849999999999999,1.8756,3.0589,0.0,0.3806776268124455,0.6071744212150062,0.6370035234509217,0.4312997024498547,0.0,0.9
subpopulation,acceptance,0.6493,0.83775,1.7714000000000003,3.25845,0.0,0.3589005742851664,0.5269985373161232,0.7756768657114894,0.42351173734226855,0.0,0.95
individualized,counterfactual,0.43535,0.7555,1.9165500000000002,3.1074,0.0,0.23326475778012898,0.5604447638557553,0.6945392337530129,0.34768574572130195,0.0,0.75
individualized,counterfactual,0.6692,0.73045,1.86765,3.2673,0.0,0.4263943271459204,0.410238646670718,0.6470904560672591,0.35663630711910926,0.0,0.85
individualized,counterfactual,0.48913366834170857,0.6833894472361809,1.8633261306532662,3.0358492462311557,0.0,0.38157186215260325,0.5979389574782437,0.6316410320079799,0.4638528431494292,0.0,0.9
individualized,counterfactual,0.6172223618090452,0.8048731155778894,1.7882992462311555,3.21039472361809,0.0,0.3274495273171173,0.4672218376597785,0.7842773314416039,0.35439788786753273,0.0,0.95
individualized,improvement,0.9606999999999999,0.92935,1.4945,3.38455,0.0,0.057389604168931754,0.08424371061258974,0.11942477874284631,0.18319228665227397,0.0,0.75
individualized,improvement,1.10625,1.042,1.67475,3.8229999999999995,0.0,0.054962739904209405,0.1091718828270357,0.14729283945784855,0.2608091043059828,0.0,0.85
individualized,improvement,1.21625,1.07385,1.49295,3.7830500000000002,0.0,0.04847178446156987,0.07875279536484896,0.1769798246505328,0.2522666633632838,0.0,0.9
individualized,improvement,1.3702999999999999,1.11935,1.4243000000000001,3.91395,0.0,0.051673225390159436,0.14267641127156708,0.08953931476669276,0.23537304315584748,0.0,0.95
subpopulation,improvement,0.8894499999999999,1.3221,2.3984,4.6099499999999995,0.0,0.034464514761966124,0.0636268636487591,0.0708177629945733,0.13369231881866347,0.0,0.75
subpopulation,improvement,1.0318999999999998,1.51825,2.69775,5.2479,0.0,0.05782723310767068,0.06917379481341826,0.09942480408161072,0.20365054491565812,0.0,0.85
subpopulation,improvement,1.0742,1.6393499999999999,2.9215500000000003,5.6350999999999996,0.0,0.03958268420520383,0.051476019227943044,0.08597462480936521,0.1393950820111271,0.0,0.9
subpopulation,improvement,1.22775,1.8540500000000002,3.3533,6.4351,0.0,0.08020849567083142,0.07002319060298681,0.057219946017295506,0.16567669319088507,0.0,0.95
